,Name,Age,Nationality,Overall,Potential,Height,Weakfoot
588,R. Battaglia,26,Argentina,79,80,188,4
589,M. Philipp,24,Germany,79,84,183,4
590,A. Saint-Maximin,21,France,79,86,173,4
591,D. Zappacosta,26,Italy,79,81,183,3
592,L. Alario,25,Argentina,79,82,183,3
593,D. Benedetto,28,Argentina,79,79,178,5
594,I. Marcone,28,Argentina,79,80,183,3
595,J. Gbamin,22,Ivory Coast,79,84,185,3
596,J. Lerma,23,Colombia,79,84,178,4
597,Ricardo Horta,23,Portugal,79,84,173,4
598,R. Zobnin,24,Russia,79,86,183,3
599,M. Meyer,22,Germany,79,83,173,4
600,Bruma,23,Portugal,79,83,173,4
601,R. Centurión,25,Argentina,79,81,175,3
602,Jonny,24,Spain,79,83,170,3
603,Otávio,23,Brazil,79,85,173,3
604,J. Hofmann,25,Germany,79,80,175,4
605,N. Aké,23,Netherlands,79,84,180,3
606,J. Hector,28,Germany,79,79,185,3
607,S. Kolašinac,25,Bosnia Herzegovina,79,82,183,2
608,G. Pizarro,28,Argentina,79,79,185,3
609,Roger,27,Spain,79,80,178,3
610,Sergio Rico,24,Spain,79,83,193,3
611,L. Milivojević,27,Serbia,79,81,185,2
612,D. Baselli,26,Italy,79,82,183,3
613,K. Rekik,23,Netherlands,79,83,185,2
614,Denis Suárez,24,Spain,79,86,175,3
615,W. Orban,25,Hungary,79,81,185,3
616,Mário Rui,27,Portugal,79,80,170,3
617,Iñigo Martínez,27,Spain,79,80,183,2
618,K. Zouma,23,France,79,83,190,3
619,Roque Mesa,29,Spain,79,79,170,3
620,J. Brooks,25,United States,79,84,193,3
621,L. Karius,25,Germany,79,83,188,3
622,Zé Luís,27,Cape Verde,79,80,183,4
623,D. Klaassen,25,Netherlands,79,81,178,3
624,M. Elyounoussi,23,Norway,79,85,178,4
625,L. Bittencourt,24,Germany,79,82,170,4
626,Sergi Darder,24,Spain,79,83,180,3
627,J. Roussillon,25,France,79,84,175,3
628,D. Demme,26,Germany,79,80,170,4
629,J. Gouweleeuw,26,Netherlands,79,80,188,3
630,M. Rojo,28,Argentina,79,79,188,2
631,J. Veretout,25,France,79,84,175,3
632,L. Kurzawa,25,France,79,82,183,3
633,G. Ramírez,27,Uruguay,79,79,183,3
634,David López,28,Spain,79,79,183,3
635,C. Tătăruşanu,32,Romania,79,79,196,3
636,A. Mandi,26,Algeria,79,82,183,3
637,D. Sidibé,25,France,79,80,183,4
638,Y. Konoplyanka,28,Ukraine,79,79,178,3
639,S. Berghuis,26,Netherlands,79,80,183,3
640,H. Vanaken,25,Belgium,79,81,196,5
641,Campaña,25,Spain,79,82,178,3
642,M. van Ginkel,25,Netherlands,79,80,185,4
643,Nolito,31,Spain,79,79,175,3
644,M. Gregoritsch,24,Austria,79,82,193,3
645,Ibai Gómez,28,Spain,79,79,178,4
646,Danilo,26,Brazil,79,80,183,4
647,R. Barkley,24,England,79,82,185,5
648,M. Ryan,26,Australia,79,81,183,4
649,Sergio León,29,Spain,79,79,178,4
650,B. Stambouli,27,France,79,79,180,4
651,J. Guilavogui,27,France,79,80,188,3
652,Sérgio Oliveira,26,Portugal,79,82,180,3
653,D. Caligiuri,30,Italy,79,79,183,4
654,C. Wilson,26,England,79,81,180,3
655,P. Jones,26,England,79,80,185,3
656,Borja García,27,Spain,79,79,175,3
657,Y. Belhanda,28,Morocco,79,79,178,4
658,G. Pezzella,27,Argentina,79,81,185,3
659,Jaume Costa,30,Spain,79,79,170,3
660,C. Tosun,27,Turkey,79,80,183,4
661,Escudero,28,Spain,79,79,175,2
662,Kike García,28,Spain,79,79,185,4
663,Elkeson,28,Brazil,79,79,180,4
664,Ricardo Goulart,27,Brazil,79,80,180,4
665,J. Guðmundsson,27,Iceland,79,79,178,4
666,N. Clyne,27,England,79,80,175,2
667,M. Hitz,30,Switzerland,79,79,193,3
668,De Marcos,29,Spain,79,79,183,3
669,B. Mee,28,England,79,79,183,3
670,Rafael,27,Brazil,79,79,173,3
671,Iborra,30,Spain,79,79,190,4
672,J. Wilshere,26,England,79,81,173,2
673,B. Hübner,28,Germany,79,79,193,2
674,Souza,29,Brazil,79,79,188,4
675,F. Coquelin,27,France,79,80,178,3
676,Alex Teixeira,28,Brazil,79,79,173,4
677,A. Dzagoev,28,Russia,79,79,178,3
678,I. Smolnikov,29,Russia,79,79,178,3
679,Y. M'Vila,28,France,79,80,183,3
680,K. Asamoah,29,Ghana,79,79,173,3
681,R. Zieler,29,Germany,79,80,188,3
682,D. Drinkwater,28,England,79,79,178,4
683,N. Kalinić,30,Croatia,79,79,188,4
684,Mariano,32,Brazil,79,79,178,3
685,S. Feghouli,28,Algeria,79,79,175,3
686,Adrien Silva,29,Portugal,79,79,175,4
687,Fernando,30,Brazil,79,79,183,2
688,I. Traoré,30,Guinea,79,79,170,2
689,G. Mercado,31,Argentina,79,79,180,3
690,N. Petersen,29,Germany,79,79,188,4
691,O. Karnezis,32,Greece,79,79,190,3
692,M. Sakho,28,France,79,80,188,2
693,Sidnei,28,Brazil,79,80,188,2
694,S. Jovetić,28,Montenegro,79,79,183,4
695,Eder,31,Italy,79,79,178,4
696,J. Hernández,30,Mexico,79,79,175,3
697,Fabricio,30,Spain,79,79,183,4
698,Kiko Casilla,31,Spain,79,79,190,2
699,Ángel,31,Spain,79,79,173,3
700,M. Schneiderlin,28,France,79,79,185,3
701,M. Fellaini,30,Belgium,79,79,193,3
702,P. Wernbloom,32,Sweden,79,79,188,3
703,D. Ospina,29,Colombia,79,79,183,3
704,S. Mignolet,30,Belgium,79,79,193,2
705,A. Begović,31,Bosnia Herzegovina,79,79,198,2
706,N. Şahin,29,Turkey,79,79,180,3
707,R. Bertrand,28,England,79,79,178,3
708,A. Masiello,32,Italy,79,79,183,2
709,T. Walcott,29,England,79,79,175,3
710,Charles,34,Brazil,79,79,178,3
711,T. Heaton,32,England,79,79,188,3
712,H. Ben Arfa,31,France,79,79,178,4
713,D. Abraham,31,Argentina,79,79,188,2
714,E. Lavezzi,33,Argentina,79,79,173,4
715,S. Kalou,32,Ivory Coast,79,79,183,3
716,J. Farfán,33,Peru,79,79,178,3
717,R. Babel,31,Netherlands,79,79,185,3
718,A. Young,32,England,79,79,175,3
719,J. Hart,31,England,79,79,196,3
720,L. López,35,Argentina,79,79,175,4
721,D. Baier,34,Germany,79,79,175,3
722,B. Yılmaz,32,Turkey,79,79,188,3
723,R. Adler,33,Germany,79,79,190,3
724,S. Lichtsteiner,34,Switzerland,79,79,183,3
725,E. Adebayor,34,Togo,79,79,193,3
726,E. Belözoğlu,37,Turkey,79,79,170,4
727,Loren,24,Spain,78,83,188,3
728,Éder Militão,20,Brazil,78,87,185,2
729,F. Chiesa,20,Italy,78,87,175,4
730,M. Lazzari,24,Italy,78,81,175,3
731,A. Hakimi,19,Morocco,78,86,180,2
732,S. Nakajima,23,Japan,78,84,165,4
733,L. Jović,20,Serbia,78,86,183,5
734,S. Ascacíbar,21,Argentina,78,84,168,3
735,A. Lafont,19,France,78,90,193,3
736,T. Alexander-Arnold,19,England,78,88,180,3
737,F. Krovinović,22,Croatia,78,84,178,4
738,Sidney Pessinho,26,Brazil,78,78,188,3
739,Everticinho,30,Brazil,78,78,175,3
740,Claudio Coíntra,34,Brazil,78,78,175,5
741,Ronaldo Esler,30,Brazil,78,78,168,3
742,P. Lees-Melou,25,France,78,80,185,3
743,B. Chilwell,21,England,78,85,178,3
744,João Novais,24,Portugal,78,81,183,3
745,D. Calabria,21,Italy,78,88,175,3
746,F. Mendy,23,France,78,86,178,5
747,L. Pellegrini,22,Italy,78,84,185,3
748,Soares,27,Brazil,78,79,188,3
749,Daniel Podence,22,Portugal,78,84,163,4
750,M. Díaz,32,Argentina,78,78,188,2
751,G. Martínez,25,Argentina,78,82,173,2
752,M. Eggestein,21,Germany,78,84,180,4
753,Trezeguet,23,Egypt,78,80,178,5
754,N. Amiri,21,Germany,78,85,180,3
755,Vallejo,21,Spain,78,86,183,3
756,J. Gomez,21,England,78,88,188,3
757,Diogo Jota,21,Portugal,78,86,178,4
758,Joan Jordán,23,Spain,78,83,183,4
759,Dyego Sousa,28,Brazil,78,78,190,3
760,A. Marušić,25,Montenegro,78,79,185,4
761,David Soria,25,Spain,78,80,193,3
762,V. Rongier,23,France,78,83,173,3
763,W. Weghorst,25,Netherlands,78,80,198,3
764,O. Al Soma,29,Syria,78,78,190,4
765,M. Nakamba,24,Zimbabwe,78,83,175,2
766,Petros,29,Brazil,78,78,180,3
767,Pablo Maffeo,20,Spain,78,86,173,3
768,Y. Mina,23,Colombia,78,85,196,2
769,M. Dúbravka,29,Slovakia,78,80,190,2
770,Diego Carlos,25,Brazil,78,80,185,4
771,D. Djené,26,Togo,78,79,175,4
772,G. Simeone,22,Argentina,78,85,180,3
773,M. Meza,25,Argentina,78,79,180,3
774,Bastos,26,Angola,78,79,180,3
775,S. Lobotka,23,Slovakia,78,84,170,4
776,Y. Tielemans,21,Belgium,78,87,175,5
777,Marcelo Goiano,30,Brazil,78,78,175,4
778,K. Tete,22,Netherlands,78,83,180,3
779,Capa,26,Spain,78,81,175,4
780,M. Sportiello,26,Italy,78,81,193,2
781,Jemerson,25,Brazil,78,81,183,2
782,N. Maksimović,26,Serbia,78,81,193,3
783,D. Zapata,27,Colombia,78,79,188,4
784,J. Correa,23,Argentina,78,83,188,4
785,E. Rigoni,25,Argentina,78,81,178,5
786,C. Izquierdoz,29,Argentina,78,78,185,2
787,W. Barrios,24,Colombia,78,85,178,3
788,J. Mojica,25,Colombia,78,81,185,2
789,A. Selikhov,24,Russia,78,82,188,4
790,A. Iwobi,22,Nigeria,78,84,185,3
791,D. Laxalt,25,Uruguay,78,80,178,3
792,N. Bentaleb,23,Algeria,78,83,188,2
793,N. Stark,23,Germany,78,84,190,3
794,M. Lemina,24,Gabon,78,83,183,3
795,L. Dendoncker,23,Belgium,78,84,188,4
796,Ricardo Esgaio,25,Portugal,78,80,173,3
797,P. Sisto,23,Denmark,78,84,173,4
798,P. Max,24,Germany,78,81,178,3
799,R. Gagliardini,24,Italy,78,82,190,2
800,Pere Pons,25,Spain,78,83,178,3
801,D. Berardi,23,Italy,78,83,183,3
802,M. Halstenberg,26,Germany,78,79,188,3
803,J. Quintero,25,Colombia,78,80,168,2
804,Tiago Volpi,27,Brazil,78,80,185,2
805,Óliver Torres,23,Spain,78,83,175,4
806,Omar Mascarell,25,Spain,78,80,180,4
807,H. Sakai,28,Japan,78,78,183,4
808,Andreas Pereira,22,Brazil,78,84,178,4
809,A. Januzaj,23,Belgium,78,84,185,4
810,B. Cristante,23,Italy,78,86,185,3
811,Matheus,25,Brazil,78,82,188,3
812,B. Traoré,22,Burkina Faso,78,83,180,1
813,Y. Poulsen,24,Denmark,78,80,193,3
814,L. Trossard,23,Belgium,78,84,173,4
815,M. Arnold,24,Germany,78,83,183,3
816,M. De Sciglio,25,Italy,78,81,183,5
817,Leo Baptistao,25,Brazil,78,79,180,3
818,V. Chiricheş,28,Romania,78,78,183,3
819,L. Pavoletti,29,Italy,78,78,188,3
820,A. Cragno,24,Italy,78,84,183,3
821,L. Castro,29,Argentina,78,78,183,3
822,N. Füllkrug,25,Germany,78,79,188,4
823,F. Fajr,29,Morocco,78,78,178,4
824,R. Jiménez,27,Mexico,78,79,188,4
825,E. Sala,27,Argentina,78,78,188,3
826,S. García,27,Uruguay,78,78,180,4
827,S. Arias,26,Colombia,78,81,178,3
828,B. Reynet,27,France,78,80,185,3
829,Pozuelo,26,Spain,78,79,173,5
830,A. Trebel,27,France,78,79,175,2
831,J. Lascelles,24,England,78,83,188,3
832,T. Kongolo,24,Netherlands,78,83,188,4
833,A. Carrillo,27,Peru,78,78,180,4
834,Álvaro,28,Spain,78,79,183,3
835,G. Defrel,27,France,78,78,178,3
836,Fernando,26,Brazil,78,81,175,3
837,V. Darida,27,Czech Republic,78,78,170,4
838,R. Saponara,26,Italy,78,80,183,4
839,Pedro Mendes,27,Portugal,78,80,185,3
840,C. Schindler,28,Germany,78,80,188,3
841,N. Chadli,28,Belgium,78,78,188,4
842,Arbilla,31,Spain,78,78,178,4
843,L. Dunk,26,England,78,81,193,4
844,P. Hernández,31,Chile,78,78,185,3
845,J. Guidetti,26,Sweden,78,81,185,3
846,Sergi Gómez,26,Spain,78,83,185,2
847,Oriol Romeu,26,Spain,78,80,183,3
848,Lucas Pérez,29,Spain,78,78,180,4
849,B. Natcho,30,Israel,78,78,178,4
850,Cláudio Ramos,26,Portugal,78,82,183,3
851,F. Lejeune,27,France,78,80,188,3
852,G. Krychowiak,28,Poland,78,79,185,3
853,N. Lodeiro,29,Uruguay,78,78,170,4
854,O. Özyakup,25,Turkey,78,81,180,4
855,C. Tévez,34,Argentina,78,78,170,3
856,K. Papadopoulos,26,Greece,78,80,185,3
857,M. Gradel,30,Ivory Coast,78,78,178,3
858,M. Debuchy,32,France,78,78,175,3
859,V. Moses,27,Nigeria,78,78,178,4
860,Z. Junuzović,30,Austria,78,78,173,4
861,Granero,30,Spain,78,78,180,4
862,J. Baumgartlinger,30,Austria,78,78,183,3
863,Fábio Coentrão,30,Portugal,78,78,178,2
864,B. Costil,30,France,78,78,188,3
865,Hilton,40,Brazil,78,78,180,3
866,N. Gudelj,26,Serbia,78,80,188,2
867,L. Pratto,30,Argentina,78,78,188,3
868,E. Hernández,30,Mexico,78,78,170,3
869,Jurado,32,Spain,78,78,175,4
870,R. Cabella,28,France,78,78,170,4
871,Rafael Tolói,27,Brazil,78,80,185,2
872,C. Bravo,35,Chile,78,78,183,3
873,Hernanes,33,Brazil,78,78,180,5
874,K. Honda,32,Japan,78,78,183,3
875,A. Dzyuba,29,Russia,78,78,196,3
876,J. Holebas,34,Greece,78,78,185,2
877,Javi García,31,Spain,78,78,185,3
878,Sergio,31,Spain,78,78,178,2
879,M. Cáceres,31,Uruguay,78,78,180,3
880,Daniel Carriço,29,Portugal,78,78,180,3
881,J. Cork,29,England,78,78,183,4
882,J. Tomkins,29,England,78,79,193,3
883,Guilherme,32,Russia,78,78,196,2
884,Gervinho,31,Ivory Coast,78,78,178,3
885,J. Shelvey,26,England,78,80,183,3
886,R. Eremenko,31,Finland,78,78,185,4
887,R. Vormer,30,Netherlands,78,78,178,4
888,J. Lens,30,Netherlands,78,78,178,4
889,Adriano,33,Brazil,78,78,173,5
890,S. Cook,27,England,78,78,185,3
891,L. Podolski,33,Germany,78,78,183,3
892,C. Ansaldi,31,Argentina,78,78,180,5
893,Manu García,32,Spain,78,78,183,3
894,R. Alessandrini,29,France,78,78,173,4
895,J. Ward-Prowse,23,England,77,82,173,3
896,M. Harnik,31,Austria,77,77,185,4
897,B. Moukandjo,29,Cameroon,77,77,180,3
898,G. Pereiro,23,Uruguay,77,82,188,2
899,G. Castro,31,Germany,77,77,173,4
900,Aarón Martín,21,Spain,77,85,180,3
901,F. Johnson,30,United States,77,77,183,4
902,L. López,28,Argentina,77,77,190,3
903,M. Dossevi,30,Togo,77,77,173,3
904,Caiuby,29,Brazil,77,77,183,4
905,Gabriel,24,Brazil,77,81,188,5
906,Iván Ramis,33,Spain,77,77,188,3
907,M. Suchý,30,Czech Republic,77,77,183,3
908,T. Vilhena,23,Netherlands,77,81,175,4
909,E. Çolak,27,Turkey,77,77,170,3
910,V. Germain,28,France,77,77,180,4
911,G. Hoarau,34,France,77,77,193,2
912,Sergio García,35,Spain,77,77,175,2
913,E. Choupo-Moting,29,Cameroon,77,77,190,4
914,J. Pinola,35,Argentina,77,77,180,3
915,J. Hendrix,23,Netherlands,77,82,180,3
916,J. Izquierdo,25,Colombia,77,78,170,3
917,S. Sydorchuk,27,Ukraine,77,78,188,3
918,C. Grenier,27,France,77,78,185,4
919,T. Strobl,28,Germany,77,77,188,3
920,V. Odjidja-Ofoe,29,Belgium,77,77,183,4
921,N. Guzmán,32,Argentina,77,77,193,3
922,F. Fabra,27,Colombia,77,78,173,3
923,J. Maddison,21,England,77,85,175,4
924,K. El Ahmadi,33,Morocco,77,77,180,2
925,M. Carcela-González,29,Morocco,77,77,175,3
926,M. Gabbiadini,26,Italy,77,78,180,3
927,Gomes,37,Brazil,77,77,190,2
928,M. Ritchie,28,Scotland,77,77,173,4
929,G. Bou,28,Argentina,77,77,178,4
930,Javi Fuego,34,Spain,77,77,183,3
931,E. Akbaba,25,Turkey,77,80,180,3
932,J. Amavi,24,France,77,82,175,4
933,R. Malinovskyi,25,Ukraine,77,81,180,4
934,D. Welbeck,27,England,77,77,185,3
935,G. Conti,23,Argentina,77,83,193,2
936,Bruno,28,Spain,77,78,185,3
937,Garry Rodrigues,27,Cape Verde,77,77,173,3
938,A. Schwolow,26,Germany,77,78,188,3
939,L. Cook,21,England,77,84,175,4
940,P. Pérez,32,Argentina,77,77,175,3
941,Gazzolisco,30,Brazil,77,77,185,5
942,Jonatan Soriano,32,Spain,77,77,180,3
943,Rubén Peña,26,Spain,77,78,170,3
944,Mikel San José,29,Spain,77,77,188,3
945,P. Groß,27,Germany,77,78,180,4
946,L. Baines,33,England,77,77,170,3
947,A. Ogbonna,30,Italy,77,77,190,3
948,Juan Jesus,27,Brazil,77,77,185,2
949,J. Martínez,31,Colombia,77,77,185,4
950,N. Elvedi,21,Switzerland,77,84,188,3
951,G. Moreno,32,Colombia,77,77,193,2
952,J. Valdivia,34,Chile,77,77,173,4
953,A. Carroll,29,England,77,77,193,3
954,Luís Neto,30,Portugal,77,77,188,3
955,A. Pyatov,34,Ukraine,77,77,190,3
956,T. Gutiérrez,33,Colombia,77,77,178,3
957,Álex Remiro,23,Spain,77,83,190,3
958,Wilson Eduardo,27,Portugal,77,77,178,3
959,Jorge Meré,21,Spain,77,83,183,3
960,M. Elneny,25,Egypt,77,79,180,3
961,D. Torres,28,Colombia,77,77,183,3
962,Y. Bounou,27,Morocco,77,80,193,3
963,A. Prijović,28,Serbia,77,77,190,3
964,A. Jahanbakhsh,24,Iran,77,80,180,4
965,J. Calleri,24,Argentina,77,82,180,2
966,Simão Acunha,30,Brazil,77,77,178,2
967,N. Müller,30,Germany,77,77,173,3
968,L. Ocampos,23,Argentina,77,82,188,3
969,J. Rodriguez,28,England,77,77,185,4
970,V. Ibišević,33,Bosnia Herzegovina,77,77,188,3
971,S. Rondón,28,Venezuela,77,77,185,4
972,Victor Sánchez,30,Spain,77,77,175,3
973,D. Suárez,30,Uruguay,77,77,173,3
974,K. Huntelaar,34,Netherlands,77,77,185,4
975,L. Dubois,23,France,77,84,178,4
976,André Pinto,28,Portugal,77,77,193,2
977,K. Lala,26,France,77,78,178,3
978,O. Kıvrak,30,Turkey,77,77,188,3
979,A. Bertolacci,27,Italy,77,77,178,3
980,E. Giaccherini,33,Italy,77,77,168,3
981,A. Živković,21,Serbia,77,84,170,3
982,R. Ábila,28,Argentina,77,77,178,4
983,P. Diop,32,Senegal,77,77,178,3
984,D. Garmash,28,Ukraine,77,77,185,3
985,T. Chandler,28,United States,77,77,183,3
986,R. Klavan,32,Estonia,77,77,188,3
987,A. Miranchuk,22,Russia,77,82,183,2
988,D. Da Silva,30,France,77,77,183,4
989,D. Benaglio,34,Switzerland,77,77,193,3
990,T. Rincón,30,Venezuela,77,77,178,3
991,M. Pereira,34,Uruguay,77,77,173,3
992,C. Borges,30,Costa Rica,77,77,183,4
993,J. Sand,37,Argentina,77,77,183,4
994,Markel Bergara,32,Spain,77,77,180,3
995,Vágner Love,34,Brazil,77,77,170,5
996,B. Bourigeaud,24,France,77,81,178,3
997,R. Soriano,27,Italy,77,77,183,4
998,D. Kuzyaev,25,Russia,77,80,183,3
999,R. Sambueza,34,Argentina,77,77,175,3
1000,Montoya,27,Spain,77,78,175,4
