,Name,Age,Nationality,Overall,Potential,Height,Weak.Foot
4384,Saberto Botelho,30,Brazil,71,71,182.88,3
4385,J. Dahlin,31,Sweden,71,71,182.88,3
4386,Martin Cordeia,34,Brazil,71,71,152.4,3
4387,A. Oukidja,29,Algeria,71,72,182.88,2
4388,B. Angulo,22,Ecuador,71,77,182.88,4
4389,S. Burchert,28,Germany,71,71,182.88,3
4390,Nélson Monte,22,Portugal,71,77,182.88,2
4391,D. Rojas,23,Chile,71,76,152.4,4
4392,Charles,24,Brazil,71,77,182.88,2
4393,H. Wolf,19,Austria,71,82,152.4,3
4394,E. Videla,30,Argentina,71,71,152.4,2
4395,P. Ledesma,34,Argentina,71,71,152.4,3
4396,R. van Drongelen,19,Netherlands,71,83,182.88,4
4397,F. Jensen,20,Finland,71,80,182.88,3
4398,Artur,22,Brazil,71,76,152.4,2
4399,Edgar Costa,31,Portugal,71,71,152.4,3
4400,S. Martínez,24,Chile,71,74,152.4,3
4401,D. Fisher,24,England,71,75,152.4,3
4402,L. Clarke,33,England,71,71,182.88,4
4403,T. Hubočan,32,Slovakia,71,71,182.88,4
4404,Dani Castellano,30,Spain,71,71,152.4,3
4405,Javi Castellano,30,Spain,71,71,182.88,3
4406,P. Olkowski,28,Poland,71,71,182.88,2
4407,M. Caligiuri,34,Germany,71,71,152.4,3
4408,Marlion Rolim,26,Brazil,71,71,152.4,3
4409,D. Burn,26,England,71,73,182.88,3
4410,S. Schwab,27,Austria,71,72,182.88,4
4411,O. Aina,21,Nigeria,71,80,182.88,3
4412,A. Mina,27,Ecuador,71,73,182.88,3
4413,S. Guirassy,22,France,71,79,182.88,3
4414,L. Paqarada,23,Kosovo,71,75,182.88,3
4415,J. Sánchez,28,Mexico,71,71,152.4,3
4416,J. Wallace,24,England,71,74,152.4,4
4417,Jota,25,Portugal,71,75,152.4,3
4418,Jesús Imaz,27,Spain,71,71,152.4,4
4419,Dani Hernández,32,Venezuela,71,71,182.88,2
4420,K. Diatta,19,Senegal,71,84,152.4,3
4421,X. Chavalerin,27,France,71,72,152.4,3
4422,G. Tzavellas,30,Greece,71,71,182.88,3
4423,O. Omoijuanfo,24,Norway,71,78,182.88,4
4424,S. Dimitrievski,24,FYR Macedonia,71,77,182.88,2
4425,Eltildo Bessa,34,Brazil,71,71,152.4,3
4426,B. Marshall,27,England,71,71,152.4,4
4427,N. Mendez-Laing,26,England,71,72,152.4,3
4428,Álex Martínez,27,Spain,71,71,152.4,3
4429,Z. Bakkali,22,Belgium,71,77,152.4,4
4430,G. Gimbert,32,France,71,71,182.88,4
4431,M. Gajić,22,Serbia,71,75,152.4,2
4432,S. Aigner,30,Germany,71,71,182.88,4
4433,P. Köpke,22,Germany,71,79,152.4,3
4434,F. Klos,30,Germany,71,71,182.88,4
4435,K. McLean,26,Scotland,71,73,182.88,3
4436,M. Olsson,30,Sweden,71,71,152.4,2
4437,C. Nyman,25,Sweden,71,74,182.88,3
4438,O. Estupiñán,21,Colombia,71,79,182.88,2
4439,B. Wright,25,Australia,71,74,182.88,3
4440,J. Bednarek,22,Poland,71,80,182.88,3
4441,L. Vibe,31,Denmark,71,71,152.4,3
4442,O. Jiménez,29,Mexico,71,71,182.88,3
4443,Alejandro Rodríguez,26,Spain,71,71,182.88,2
4444,T. Elphick,30,England,71,71,182.88,3
4445,David Ferreiro,30,Spain,71,71,152.4,3
4446,M. Gobbi,37,Italy,71,71,182.88,3
4447,R. Insigne,24,Italy,71,75,152.4,2
4448,N. Gyömbér,25,Slovakia,71,74,182.88,3
4449,Túlio Sandoiro,34,Brazil,71,71,182.88,3
4450,Hélder Barbosa,31,Portugal,71,71,152.4,4
4451,B. Sako,30,Mali,71,71,182.88,3
4452,M. Domizzi,38,Italy,71,71,182.88,3
4453,P. Oniangué,29,Congo,71,71,182.88,2
4454,P. Onuachu,24,Nigeria,71,78,182.88,2
4455,F. Balmont,38,France,71,71,152.4,3
4456,Antoñito,30,Spain,71,71,152.4,3
4457,A. Baby,29,Senegal,71,71,182.88,3
4458,B. Petković,23,Croatia,71,76,182.88,3
4459,Nélson Lenho,34,Portugal,71,71,152.4,3
4460,Gumbau,23,Spain,71,77,182.88,3
4461,C. Aboagye,23,Ghana,71,77,152.4,3
4462,Y. Erdoğan,25,Turkey,71,72,152.4,4
4463,Paulinho,32,Brazil,71,71,152.4,3
4464,J. Cooper,23,England,71,75,182.88,2
4465,S. Malone,27,England,71,72,182.88,3
4466,M. Maloča,29,Croatia,71,71,182.88,2
4467,G. Berardi,29,Switzerland,71,71,152.4,2
4468,Samu García,28,Spain,71,71,152.4,4
4469,T. Derijck,31,Belgium,71,71,182.88,4
4470,A. Khalili,26,Sweden,71,74,182.88,2
4471,Y. Endo,38,Japan,71,71,152.4,3
4472,E. Kaçe,24,Albania,71,74,152.4,4
4473,D. Machado,24,Colombia,71,75,152.4,3
4474,S. Plavšić,22,Serbia,71,77,152.4,3
4475,H. Reed,23,England,71,78,152.4,3
4476,S. Klaiber,23,Netherlands,71,74,182.88,3
4477,J. Boga,21,Ivory Coast,71,81,152.4,3
4478,D. Contento,28,Germany,71,71,152.4,3
4479,S. Padoin,34,Italy,71,71,152.4,3
4480,D. Foulquier,25,France,71,76,182.88,3
4481,Paco Montañés,31,Spain,71,71,152.4,4
4482,T. Dingomé,27,France,71,72,152.4,3
4483,D. Kądzior,26,Poland,71,72,152.4,2
4484,E. Taşdemir,22,Turkey,71,78,152.4,3
4485,P. Coutts,29,Scotland,71,71,182.88,3
4486,D. Dumić,26,Bosnia Herzegovina,71,74,182.88,2
4487,Juan Carlos,30,Spain,71,71,182.88,3
4488,S. Privat,28,France,71,71,182.88,3
4489,G. Montiel,21,Argentina,71,80,152.4,3
4490,João Gamboa,21,Portugal,71,79,182.88,3
4491,A. Zhirov,27,Russia,71,74,182.88,3
4492,M. Tosetti,26,Switzerland,71,72,152.4,4
4493,André Milazisco,34,Brazil,71,71,182.88,1
4494,M. Colin,26,France,71,72,152.4,3
4495,F. Jozefzoon,27,Netherlands,71,71,152.4,4
4496,D. Moor,34,United States,71,71,182.88,4
4497,A. Turan,34,Turkey,71,71,182.88,3
4498,O. Bayram,26,Turkey,71,72,152.4,3
4499,S. Bossut,32,Belgium,71,71,182.88,3
4500,J. Irvine,25,Australia,71,75,182.88,3
4501,D. Biraschi,23,Italy,71,78,182.88,2
4502,A. Bouchalakis,25,Greece,71,73,182.88,4
4503,A. Voglsammer,26,Germany,71,73,152.4,3
4504,Son Jun Ho,26,Korea Republic,71,74,152.4,3
4505,A. El Said,32,Egypt,71,71,152.4,4
4506,A. Yiadom,26,Ghana,71,72,152.4,3
4507,W. Sobota,31,Poland,71,71,152.4,4
4508,I. Latovlevici,32,Romania,71,71,152.4,3
4509,B. Leal,36,Chile,71,71,152.4,3
4510,E. Zelazny,26,France,71,74,182.88,2
4511,A. Brignoli,26,Italy,71,73,182.88,3
4512,K. Narey,23,Germany,71,74,152.4,5
4513,M. Pugh,31,England,71,71,152.4,4
4514,S. McTominay,21,Scotland,71,81,182.88,3
4515,Fabrício Baiano,26,Brazil,71,75,152.4,3
4516,F. Navarro,29,Mexico,71,71,152.4,2
4517,R. Bajić,24,Bosnia Herzegovina,71,76,182.88,3
4518,M. Le Bihan,28,France,71,71,182.88,3
4519,A. Rentería,25,Colombia,71,75,152.4,3
4520,A. Leya Iseka,20,Belgium,71,78,182.88,3
4521,André Moreira,22,Portugal,71,80,182.88,2
4522,C. Gülselam,30,Turkey,71,71,182.88,3
4523,M. Rodríguez,32,Argentina,71,71,152.4,3
4524,G. Litteri,30,Italy,71,71,182.88,3
4525,Raphael Rossi,27,Brazil,71,72,182.88,1
4526,B. Kamara,21,France,71,77,182.88,2
4527,R. Oshima,25,Japan,71,73,152.4,4
4528,L. Bruins,31,Netherlands,71,71,152.4,4
4529,N. Kebano,26,DR Congo,71,72,152.4,3
4530,Wiliam Santinho,34,Brazil,71,71,182.88,2
4531,L. Sadiku,26,Kosovo,71,73,182.88,3
4532,Y. Barbet,25,France,71,74,182.88,2
4533,Javi Moyano,32,Spain,71,71,152.4,3
4534,J. McLaughlin,29,Scotland,71,72,182.88,3
4535,M. Büchel,27,Liechtenstein,71,71,152.4,3
4536,B. Oviedo,28,Costa Rica,71,71,152.4,3
4537,J. Osorio,26,Canada,71,74,152.4,4
4538,Wagner Orsinho,30,Brazil,71,71,152.4,3
4539,J. Elías,22,Argentina,71,78,152.4,2
4540,Evandro,31,Brazil,71,71,152.4,3
4541,Manu Morlanes,19,Spain,71,83,152.4,3
4542,K. Großkreutz,29,Germany,71,71,182.88,3
4543,T. Kessler,32,Germany,71,71,182.88,3
4544,M. Beevers,28,England,71,71,182.88,2
4545,D. Gastaldello,35,Italy,71,71,182.88,3
4546,P. Faragò,25,Italy,71,73,182.88,3
4547,C. Ramírez,30,Colombia,71,71,182.88,4
4548,I. Bennacer,20,Algeria,71,82,152.4,3
4549,O. Coulibaly,28,Mali,71,71,182.88,2
4550,Alex Alegría,25,Spain,71,74,182.88,3
4551,C. Adjapong,20,Italy,71,81,152.4,3
4552,Dorado,35,Spain,71,71,152.4,3
4553,J. Walters,34,Republic of Ireland,71,71,182.88,3
4554,A. De Sart,21,Belgium,71,78,152.4,3
4555,Luisinho Conradi,30,Brazil,71,71,152.4,3
4556,B. Özcan,20,Turkey,71,78,152.4,4
4557,P. Bamford,24,England,71,76,182.88,3
4558,R. López,25,Mexico,71,76,182.88,3
4559,F. Monteseirín,23,Argentina,71,78,182.88,3
4560,A. Calabresi,22,Italy,71,79,182.88,3
4561,J. Léa Siliki,22,France,71,81,182.88,2
4562,J. De Sart,23,Belgium,71,76,182.88,3
4563,M. Sylla,24,Senegal,71,75,152.4,4
4564,K. Boli,27,France,71,74,182.88,3
4565,D. Avdijaj,21,Kosovo,71,78,152.4,4
4566,Nauzet,33,Spain,71,71,182.88,2
4567,G. Molins,29,Sweden,71,71,182.88,3
4568,M. Hector,25,Jamaica,71,74,182.88,3
4569,S. Andersson,26,Sweden,71,72,182.88,2
4570,F. Erpen,35,Argentina,71,71,152.4,3
4571,F. Meza,28,Argentina,71,73,152.4,2
4572,D. Lemos,29,Argentina,71,71,152.4,3
4573,Z. Kuzmanović,30,Serbia,71,71,182.88,3
4574,Lisandro Semedo,22,Portugal,71,77,152.4,3
4575,J. Prior,22,France,71,77,182.88,2
4576,V. Salazar,25,Argentina,71,76,152.4,2
4577,A. Diomande,28,Norway,71,71,152.4,3
4578,A. Niane,25,Mali,71,73,182.88,3
4579,Stephen Eustáquio,21,Portugal,71,83,152.4,3
4580,W. Montoya,24,Argentina,71,74,152.4,3
4581,Kadu,31,Brazil,71,71,182.88,2
4582,D. Bentley,24,England,71,76,182.88,3
4583,B. Drągowski,20,Poland,71,82,182.88,2
4584,G. Mancini,22,Italy,71,80,182.88,3
4585,T. Clarke,30,England,71,71,152.4,3
4586,F. Boeckx,31,Belgium,71,71,152.4,3
4587,Adryan,23,Brazil,71,77,152.4,4
4588,M. Grüttner,32,Germany,71,71,182.88,4
4589,J. Cevallos,23,Ecuador,71,76,182.88,4
4590,L. Acosta,23,Argentina,71,79,182.88,3
4591,M. Guendouzi,19,France,71,84,182.88,3
4592,F. Nita,30,Romania,71,71,182.88,2
4593,P. Ebert,31,Germany,71,71,152.4,4
4594,D. Marshall,33,Scotland,71,71,182.88,3
4595,K. Peterson,23,Sweden,71,77,182.88,5
4596,S. Lammers,21,Netherlands,71,80,182.88,5
4597,A. King,29,Wales,71,71,182.88,3
4598,P. Mwene,24,Austria,71,78,152.4,4
4599,Andrei Girotto,26,Brazil,71,73,182.88,2
4600,Danilo Silva,31,Brazil,71,71,182.88,4
4601,B. Kuscevic,22,Chile,71,81,182.88,3
4602,D. Sallói,21,Hungary,71,80,182.88,3
4603,Ukra,30,Portugal,71,71,152.4,4
4604,B. Acosta,31,Costa Rica,71,71,182.88,3
4605,Tramontinaldo,34,Brazil,71,71,152.4,3
4606,S. Hernández,31,Colombia,71,71,152.4,4
4607,L. Lacroix,26,Switzerland,71,76,182.88,3
4608,A. Godoy,28,Panama,71,71,182.88,3
4609,N. McGinn,30,Northern Ireland,71,71,152.4,5
4610,T. Boyd,23,New Zealand,71,76,152.4,3
4611,M. Eikrem,27,Norway,71,71,182.88,4
4612,Kang Hyeon Mu,23,Korea Republic,71,75,182.88,3
4613,H. Toledo,22,Argentina,71,76,152.4,3
4614,M. Lacen,34,Algeria,71,71,152.4,3
4615,E. Adu,27,Ghana,71,71,152.4,3
4616,L. Antei,26,Italy,71,74,182.88,2
4617,Adriano,30,Brazil,71,71,152.4,3
4618,N. Foor,26,Netherlands,71,73,152.4,5
4619,C. Quintana,30,Argentina,71,71,182.88,3
4620,Ângelo Neto,26,Brazil,71,71,152.4,2
4621,A. Tinnerholm,27,Sweden,71,72,152.4,3
4622,V. Verre,24,Italy,71,76,152.4,4
4623,I. Provedel,24,Italy,71,77,182.88,2
4624,R. Herrera,29,Uruguay,71,71,182.88,3
4625,J. Féret,35,France,71,71,182.88,4
4626,J. Attamah,24,Ghana,71,74,152.4,2
4627,Bremer,21,Brazil,71,80,182.88,2
4628,Dorca,35,Spain,71,71,182.88,3
4629,Defendi,32,Brazil,71,71,182.88,3
4630,Jonas,26,Brazil,71,72,182.88,2
4631,P. Armero,31,Colombia,71,71,152.4,2
4632,H. Van Der Bruggen,25,Belgium,71,74,152.4,4
4633,L. Garritano,24,Italy,71,76,152.4,3
4634,K. Balanta,21,Colombia,71,83,152.4,3
4635,Silvosinho,34,Brazil,71,71,152.4,3
4636,Tony Muttinho,34,Brazil,71,71,182.88,3
4637,D. Petratos,25,Australia,71,74,152.4,4
4638,Manu Barreiro,31,Spain,71,71,182.88,2
4639,R. Köse,30,Turkey,71,71,182.88,3
4640,Oier,32,Spain,71,71,152.4,2
4641,N. Rimando,39,United States,71,71,152.4,4
4642,J. Arzura,25,Argentina,71,75,152.4,3
4643,S. Davis,25,United States,71,76,182.88,4
4644,Nacho Vidal,23,Spain,71,78,152.4,3
4645,M. Samudio,31,Paraguay,71,71,152.4,3
4646,M. Martin,30,France,71,71,152.4,4
4647,F. Cubero,39,Argentina,71,71,152.4,2
4648,R. Baca,28,Mexico,71,71,152.4,3
4649,Ivo Pinto,28,Portugal,71,71,182.88,3
4650,S. Doukara,26,France,71,72,182.88,3
4651,Y. Shakhov,27,Ukraine,71,71,182.88,4
4652,O. Çek,27,Turkey,71,72,152.4,2
4653,O. Zinchenko,21,Ukraine,71,81,152.4,3
4654,S. Limbombe,27,Belgium,71,71,152.4,4
4655,K. Galanopoulos,20,Greece,71,84,152.4,3
4656,Feng Xiaoting,32,China PR,71,71,182.88,3
4657,M. Jevtovic,24,Serbia,71,76,182.88,3
4658,Arroyo,29,Spain,71,71,152.4,3
4659,Joel Pereira,22,Portugal,71,82,182.88,2
4660,Xavier,25,Portugal,71,72,152.4,3
4661,E. Remedi,23,Argentina,71,79,152.4,2
4662,L. Mareček,28,Czech Republic,71,71,182.88,3
4663,C. Martina,28,Curacao,71,71,182.88,3
4664,K. Sugimoto,25,Japan,71,74,182.88,4
4665,A. Wilkinson,33,Australia,71,71,182.88,3
4666,Mano,31,Portugal,71,71,152.4,4
4667,B. Rienstra,28,Netherlands,71,71,182.88,3
4668,Z. Kalmár,23,Hungary,71,78,182.88,3
4669,P. Aquino,23,Peru,71,76,152.4,3
4670,R. Faty,31,Senegal,71,71,182.88,3
4671,M. te Wierik,26,Netherlands,71,74,182.88,3
4672,J. Callsen-Bracker,33,Germany,71,71,182.88,3
4673,J. Isijara,28,Mexico,71,71,152.4,3
4674,R. Torres,32,Panama,71,71,182.88,3
4675,M. Çelik,21,Turkey,71,83,152.4,3
4676,B. Sharp,32,England,71,71,152.4,3
4677,T. Tomiyasu,19,Japan,71,82,182.88,5
4678,G. Thorne,25,England,71,75,182.88,3
4679,O. Rashid,26,Iraq,71,74,152.4,3
4680,M. Al Owais,26,Saudi Arabia,71,73,182.88,3
4681,S. Palacios,26,Argentina,71,72,152.4,4
4682,D. Benlamri,28,Algeria,71,71,182.88,2
4683,O. Haddadi,26,Tunisia,71,74,182.88,3
4684,N. Katić,21,Croatia,71,83,182.88,2
4685,S. Thern,25,Sweden,71,74,152.4,4
4686,N. Bitton,26,Israel,71,72,182.88,3
4687,A. Søderlund,30,Norway,71,71,182.88,4
4688,A. Ateef,25,Saudi Arabia,71,74,152.4,3
4689,E. García,28,Mexico,71,71,152.4,5
4690,Alexandre Guedes,24,Portugal,71,76,182.88,3
4691,R. Hilbert,33,Germany,71,71,182.88,3
4692,Álvaro Lemos,25,Spain,71,74,152.4,3
4693,Flávio,24,Brazil,71,76,182.88,2
4694,Pombaxinho,34,Brazil,71,71,182.88,3
4695,R. Sawyers,26,St Kitts Nevis,71,72,182.88,3
4696,D. Lekić,33,Serbia,71,71,182.88,3
4697,N. Champagne,33,Argentina,71,71,182.88,2
4698,Fábio,27,Brazil,71,71,152.4,4
4699,Deivid,29,Spain,71,71,182.88,3
4700,B. Hämäläinen,29,Denmark,71,71,152.4,3
4701,S. Dubarbier,32,Argentina,71,71,152.4,3
4702,L. Cavanda,27,Belgium,71,71,152.4,3
4703,Patrick,27,Brazil,71,72,152.4,3
4704,C. Cisneros,24,Mexico,71,74,152.4,4
4705,J. Brownhill,22,England,71,79,152.4,3
4706,Heitinho Zanon,34,Brazil,71,71,182.88,4
4707,J. Bolingi,24,DR Congo,71,76,182.88,3
4708,E. Conde,35,Uruguay,71,71,182.88,3
4709,T. Hemed,31,Israel,71,71,182.88,4
4710,L. Krajnc,23,Slovenia,71,75,182.88,2
4711,P. Terracciano,28,Italy,71,72,182.88,2
4712,N. Pasquini,27,Argentina,71,72,152.4,3
4713,G. Acosta,29,Argentina,71,71,152.4,3
4714,Fernando Boldrin,29,Brazil,71,71,152.4,4
4715,Fidel,28,Spain,71,71,152.4,2
4716,M. Rodriguez,27,Uruguay,71,71,152.4,2
4717,K. Sema,24,Sweden,71,73,152.4,3
4718,Y. Candelo,26,Colombia,71,71,152.4,3
4719,R. García Guerreño,28,Paraguay,71,71,182.88,2
4720,A. Maitland-Niles,20,England,71,84,152.4,3
4721,Nathael Silbeira,34,Brazil,71,71,182.88,2
4722,Marco Rocha,31,Portugal,71,71,182.88,3
4723,S. Colombi,27,Italy,71,71,182.88,2
4724,Unai Medina,28,Spain,71,71,152.4,3
4725,Jair,29,Brazil,71,71,152.4,3
4726,J. Lynch,30,Wales,71,71,182.88,2
4727,C. Fai,25,Cameroon,71,73,152.4,4
4728,M. Rygaard,27,Denmark,71,72,152.4,3
4729,M. Djenepo,20,Mali,71,82,152.4,3
4730,M. Männel,30,Germany,71,71,182.88,3
4731,M. Dawson,34,England,71,71,182.88,3
4732,Cristian López,29,Spain,71,71,182.88,3
4733,A. Esiti,24,Nigeria,71,76,182.88,3
4734,O. Govea,22,Mexico,71,79,152.4,4
4735,Eduardo Fonseira,30,Brazil,71,71,182.88,3
4736,R. Beerens,30,Netherlands,71,71,152.4,4
4737,Sebas Coris,25,Spain,71,74,182.88,3
4738,B. Róchez,23,Honduras,71,76,182.88,2
4739,Carlos Martínez,32,Spain,71,71,182.88,2
4740,Cao Yunding,28,China PR,71,71,152.4,4
4741,Eguaras,26,Spain,71,74,152.4,3
4742,O. Pérez,45,Mexico,71,71,152.4,3
4743,J. Siebenhandl,28,Austria,71,72,182.88,4
4744,A. Kolomeytsev,29,Russia,71,71,182.88,2
4745,Crivellaro,29,Brazil,71,71,182.88,3
4746,L. Lollo,27,Italy,71,71,152.4,3
4747,S. Maguire,24,Republic of Ireland,71,78,152.4,3
4748,Cafú,25,Portugal,71,73,182.88,3
4749,Zapater,33,Spain,71,71,152.4,3
4750,J. Botaka,25,DR Congo,70,72,182.88,3
4751,J. Böðvarsson,26,Iceland,70,72,182.88,4
4752,N. Sarenren Bazee,21,Nigeria,70,78,182.88,3
4753,R. Bianco,30,Italy,70,70,152.4,3
4754,O. Adın,32,Turkey,70,70,152.4,2
4755,A. Pešić,26,Serbia,70,73,182.88,3
4756,G. Hendrickx,23,Belgium,70,76,152.4,3
4757,J. Hochscheidt,30,Germany,70,70,152.4,4
4758,J. Cabezas,27,Colombia,70,70,182.88,3
4759,Jony Reitosa,26,Brazil,70,70,152.4,2
4760,P. Šteinbors,32,Latvia,70,70,182.88,2
4761,K. Çörekçi,26,Turkey,70,72,152.4,5
4762,J. Murphy,23,England,70,77,152.4,4
4763,R. Gagliolo,28,Italy,70,70,152.4,4
4764,D. Solanke,20,England,70,84,182.88,3
4765,F. Sacko,23,Mali,70,76,152.4,3
4766,J. Sýkora,24,Czech Republic,70,76,152.4,4
4767,D. de Buen,26,Mexico,70,72,182.88,3
4768,F. Veseli,25,Albania,70,74,182.88,3
4769,A. González,25,Venezuela,70,72,152.4,4
4770,D. John,23,Wales,70,78,152.4,3
4771,D. Ousted,33,Denmark,70,70,182.88,3
4772,A. Preciado,23,Ecuador,70,74,182.88,3
4773,Filipe Chaby,24,Portugal,70,76,152.4,3
4774,F. Torijano,29,Colombia,70,70,182.88,3
4775,J. Valenzuela,34,Mexico,70,70,152.4,3
4776,Barbosaldinho,30,Brazil,70,70,182.88,3
4777,Santi Comesaña,21,Spain,70,76,182.88,3
4778,Luís Machado,25,Portugal,70,71,152.4,2
4779,Han Chan Hee,21,Korea Republic,70,75,152.4,4
4780,D. Geiger,20,Germany,70,84,152.4,3
4781,F. Bradarić,26,Croatia,70,74,182.88,3
4782,L. Figueroa,35,Chile,70,70,152.4,2
4783,K. Stuhr-Ellegaard,35,Denmark,70,70,182.88,2
4784,F. Zampano,24,Italy,70,74,152.4,3
4785,U. Hünemeier,32,Germany,70,70,182.88,4
4786,A. Canelo,26,Argentina,70,72,152.4,4
4787,F. Ogier,29,France,70,70,182.88,3
4788,Luiz Antônio,27,Brazil,70,70,182.88,3
4789,J. Maclaren,24,Australia,70,73,152.4,4
4790,G. Þórarinsson,26,Iceland,70,71,182.88,4
4791,B. Leroy,29,France,70,71,182.88,3
4792,M. Sampirisi,25,Italy,70,73,182.88,3
4793,C. Higuita,24,Colombia,70,77,152.4,3
4794,Wilson Manafá,23,Portugal,70,75,152.4,4
4795,B. Barišić,25,Croatia,70,73,182.88,3
4796,João Lucas,22,Portugal,70,74,152.4,2
4797,V. Kadlec,26,Czech Republic,70,72,152.4,4
4798,S. Lundevall,29,Sweden,70,70,152.4,4
4799,Alberto Benito,26,Spain,70,73,152.4,3
4800,H. Mendyl,20,Morocco,70,83,152.4,2
4801,J. Paintsil,20,Ghana,70,81,152.4,3
4802,T. Martínez,23,Argentina,70,79,152.4,2
4803,M. Thorsby,22,Norway,70,76,182.88,3
4804,B. Berisha,32,Kosovo,70,70,182.88,4
4805,Ramón Folch,28,Spain,70,70,182.88,3
4806,S. Janko,22,Switzerland,70,74,152.4,3
4807,Nano,23,Spain,70,76,152.4,3
4808,C. Ganea,26,Romania,70,73,152.4,2
4809,Braga,35,Portugal,70,70,152.4,4
4810,A. Hutton,33,Scotland,70,70,182.88,3
4811,G. Campi,27,Argentina,70,73,182.88,2
4812,De las Cuevas,32,Spain,70,70,152.4,4
4813,A. Feick,30,Germany,70,70,152.4,2
4814,Edson Farias,26,Brazil,70,71,152.4,4
4815,Lucas Possignolo,24,Brazil,70,77,182.88,2
4816,G. Makaridze,28,Georgia,70,70,182.88,2
4817,Kim Bo Kyung,28,Korea Republic,70,70,152.4,4
4818,M. Michel,26,France,70,72,182.88,2
4819,O. Kemen,21,France,70,79,152.4,3
4820,M. Saito,28,Japan,70,70,152.4,4
4821,M. Kelemen,38,Slovakia,70,70,182.88,2
4822,Lourival Dinisco,30,Brazil,70,70,182.88,3
4823,Jairo Farnias,30,Brazil,70,70,152.4,3
4824,P. Anton,27,Romania,70,73,182.88,3
4825,S. Popov,27,Bulgaria,70,70,182.88,3
4826,Y. Kakitani,28,Japan,70,70,152.4,3
4827,E. Rolland,29,France,70,70,182.88,3
4828,G. Suazo,20,Chile,70,80,152.4,3
4829,E. Falkenburg,30,Netherlands,70,70,182.88,4
4830,L. Landre,26,France,70,72,182.88,3
4831,S. Vergini,29,Argentina,70,70,182.88,1
4832,Carlos Gutiérrez,26,Spain,70,71,182.88,3
4833,J. Bokila,29,DR Congo,70,70,182.88,3
4834,T. Kristensen,35,Denmark,70,70,182.88,3
4835,G. Bellusci,28,Italy,70,70,182.88,3
4836,H. Nielsen,24,Norway,70,73,182.88,4
4837,C. Ramirez,27,United States,70,71,182.88,3
4838,D. Cabrera,28,Mexico,70,70,152.4,3
4839,G. Mackay-Steven,27,Scotland,70,70,152.4,3
4840,F. Platte,22,Germany,70,77,182.88,3
4841,P. Pentke,33,Germany,70,70,182.88,3
4842,M. Liendl,32,Austria,70,70,152.4,3
4843,F. Seymour,30,Chile,70,70,152.4,3
4844,R. Ripart,25,France,70,72,152.4,3
4845,Gerard Valentín,24,Spain,70,75,152.4,3
4846,F. Schultz,26,Chile,70,70,152.4,3
4847,L. Trałka,34,Poland,70,70,182.88,1
4848,A. Dona Ndoh,32,Cameroon,70,70,182.88,2
4849,M. Yattara,24,Guinea,70,74,182.88,3
4850,R. Nelson,18,England,70,85,152.4,4
4851,M. Torrén,29,Argentina,70,70,152.4,3
4852,S. Kerk,24,Germany,70,76,182.88,3
4853,B. Davies,22,England,70,79,182.88,3
4854,Iago,26,Brazil,70,74,182.88,2
4855,Victor Fachinhas,34,Brazil,70,70,182.88,2
4856,K. Leerdam,28,Suriname,70,70,152.4,3
4857,Javi Ros,28,Spain,70,70,152.4,4
4858,C. Şahin,23,Turkey,70,75,152.4,2
4859,M. Matos,35,Argentina,70,70,152.4,4
4860,William,31,Brazil,70,70,152.4,3
4861,J. Delaplace,32,France,70,70,152.4,3
4862,C. Janker,33,Germany,70,70,182.88,3
4863,B. Heynen,21,Belgium,70,78,182.88,4
4864,Bismark,24,Brazil,70,72,152.4,4
4865,Ortuño,27,Spain,70,70,182.88,4
4866,M. Azira,30,Uganda,70,70,152.4,4
4867,J. Rodríguez,22,Argentina,70,77,182.88,2
4868,F. González,31,Argentina,70,70,152.4,3
4869,M. Falzerano,27,Italy,70,71,152.4,3
4870,C. Ascues,26,Peru,70,75,182.88,2
4871,Akapo,25,Equatorial Guinea,70,75,152.4,3
4872,M. Friedrich,22,Germany,70,78,182.88,3
4873,David Fernández,33,Spain,70,70,182.88,5
4874,R. Ziegler,32,Switzerland,70,70,182.88,3
4875,A. Ábalos,32,Argentina,70,70,152.4,4
4876,V. Sarı,29,Turkey,70,70,182.88,2
4877,D. Keet,28,South Africa,70,71,182.88,2
4878,N. Leyes,28,Argentina,70,70,152.4,3
4879,P. Hatzidiakos,21,Greece,70,78,152.4,3
4880,J. Makengo,20,France,70,80,152.4,3
4881,D. Opare,27,Ghana,70,70,152.4,4
4882,D. Schmidt,31,Germany,70,70,182.88,3
4883,L. Castaignos,25,Netherlands,70,73,182.88,2
4884,R. Azeez,25,Nigeria,70,74,152.4,3
4885,D. Antolić,28,Croatia,70,70,152.4,3
4886,D. Jevtić,25,Switzerland,70,72,182.88,3
4887,Y. Kobayashi,26,Japan,70,72,182.88,3
4888,E. Seka,31,Guinea,70,70,182.88,3
4889,M. Volta,31,Italy,70,70,182.88,2
4890,Aridane,29,Spain,70,71,182.88,3
4891,B. Schenkeveld,26,Netherlands,70,72,182.88,2
4892,Allan Ardaújo,30,Brazil,70,70,152.4,4
4893,M. Bero,22,Slovakia,70,78,182.88,3
4894,C. Chantôme,30,France,70,70,152.4,3
4895,D. Hoesen,27,Netherlands,70,71,182.88,4
4896,A. Machado,33,Panama,70,70,152.4,2
4897,Rodolfo,25,Brazil,70,72,152.4,2
4898,M. Targett,22,England,70,79,182.88,2
