,Name,Age,Club,Overall,Potential,Height,Nationality
4312,M. Bruno,24,Sporting de Charleroi,71,74,1.778,Belgium
4313,J. Faussurier,31,Stade Brestois 29,71,71,1.7272,France
4314,C. Wickham,25,Crystal Palace,71,75,1.905,England
4315,A. Abrashi,28,SC Freiburg,71,71,1.7272,Albania
4316,K. Nakamura,23,Kashiwa Reysol,71,77,1.8542,Japan
4317,Suso Santana,33,CD Tenerife,71,71,1.7272,Spain
4318,J. Bowen,21,Hull City,71,81,1.7526,England
4319,Garrido,28,Cádiz CF,71,71,1.8542,Spain
4320,E. N'Dicka,18,Eintracht Frankfurt,71,83,1.9304,France
4321,J. González,19,Monterrey,71,81,1.7526,Mexico
4322,M. Suárez,22,,71,78,1.8288,Uruguay
4323,Y. Andreu,29,Angers SCO,71,71,1.778,France
4324,J. Obita,24,Reading,71,75,1.8034,England
4325,Z. Erdal,30,Sivasspor,71,71,1.8288,Turkey
4326,L. Capezzi,23,Empoli,71,79,1.778,Italy
4327,Elsinho,28,Kawasaki Frontale,71,71,1.8034,Brazil
4328,D. Asprilla,29,Al Fayha,71,71,1.778,Colombia
4329,S. Torrico,38,San Lorenzo de Almagro,71,71,1.8288,Argentina
4330,Léo Gamalho,32,Pohang Steelers,71,71,1.8796,Brazil
4331,J. Plašil,36,FC Girondins de Bordeaux,71,71,1.8288,Czech Republic
4332,T. Darikwa,26,Nottingham Forest,71,72,1.8796,Zimbabwe
4333,Guilherme Sityá,28,Jagiellonia Białystok,71,71,1.778,Brazil
4334,Escassi,29,CD Numancia,71,72,1.8542,Spain
4335,G. Achilier,33,Monarcas Morelia,71,71,1.778,Ecuador
4336,Verza,31,CF Rayo Majadahonda,71,71,1.8034,Spain
4337,B. Salamon,27,Frosinone,71,72,1.9558,Poland
4338,A. Forshaw,26,Leeds United,71,72,1.7526,England
4339,J. Quiñones,28,Deportes Tolima,71,72,1.9558,Colombia
4340,W. Camacho,32,Rosario Central,71,71,1.778,Uruguay
4341,T. Buffel,37,SV Zulte-Waregem,71,71,1.7526,Belgium
4342,Xisco,32,CA Osasuna,71,71,1.8796,Spain
4343,Adeilson Gesser,26,Bahia,71,71,1.7526,Brazil
4344,Roderick Miranda,27,Olympiacos CFP,71,74,1.9304,Portugal
4345,N. Besara,27,Örebro SK,71,72,1.8288,Sweden
4346,D. Zbozień,29,Arka Gdynia,71,71,1.8542,Poland
4347,J. Cuero,30,América de Cali,71,71,1.7526,Colombia
4348,R. Coly,22,OGC Nice,71,78,1.8542,Senegal
4349,K. Müller,27,1. FC Heidenheim 1846,71,72,1.905,Germany
4350,R. Zozulya,28,Albacete BP,71,71,1.8034,Ukraine
4351,R. Mphahlele,28,Kaizer Chiefs,71,71,1.8542,South Africa
4352,K. Lee,30,Sheffield Wednesday,71,71,1.778,England
4353,B. Koita,27,Kasimpaşa SK,71,71,1.8542,France
4354,Heltinho Melo,34,Atlético Paranaense,71,71,1.7526,Brazil
4355,Nascimentardo,30,Ceará Sporting Club,71,71,1.7018,Brazil
4356,P. Barrera,31,U.N.A.M.,71,71,1.778,Mexico
4357,R. Pucino,27,US Salernitana 1919,71,72,1.8288,Italy
4358,Miguel Rodrigues,25,Rio Ave FC,71,74,1.8796,Portugal
4359,C. Pinares,27,Colo-Colo,71,72,1.7526,Chile
4360,A. Gonçalves,32,RC Strasbourg Alsace,71,71,1.778,France
4361,K. Musona,28,RSC Anderlecht,71,71,1.7272,Zimbabwe
4362,Tiago,25,Jeonbuk Hyundai Motors,71,72,1.8034,Brazil
4363,N. Leiva,21,Olympiacos CFP,71,79,1.7272,Spain
4364,A. Schiavone,25,Venezia FC,71,76,1.8034,Italy
4365,Manuel da Costa,32,Medipol Başakşehir FK,71,71,1.905,Morocco
4366,S. Hierländer,27,SK Sturm Graz,71,71,1.8034,Austria
4367,Bruno Alves,36,Parma,71,71,1.8796,Portugal
4368,J. Velázquez,27,Club Tijuana,71,73,1.8288,Argentina
4369,M. Chanot,28,New York City FC,71,73,1.8542,Luxembourg
4370,O. McBurnie,22,Swansea City,71,80,1.905,Scotland
4371,J. Onomah,21,Sheffield Wednesday,71,83,1.8542,England
4372,M. Madl,30,FK Austria Wien,71,71,1.8034,Austria
4373,Cucurella,19,SD Eibar,71,82,1.7272,Spain
4374,C. Araujo,36,Club Atlético Huracán,71,71,1.7272,Argentina
4375,M. Hartmann,30,SG Dynamo Dresden,71,71,1.9304,Germany
4376,M. Spiranovic,30,Perth Glory,71,71,1.9304,Australia
4377,Chong Te Se,34,Shimizu S-Pulse,71,71,1.8034,Korea DPR
4378,M. Albornoz,27,Hannover 96,71,71,1.8034,Chile
4379,A. Nukan,24,RB Leipzig,71,78,1.9558,Turkey
4380,L. Szukała,34,MKE Ankaragücü,71,71,1.9558,Poland
4381,E. Perlaza,29,Independiente Medellín,71,71,1.7272,Colombia
4382,M. Dal Hende,27,FC Midtjylland,71,71,1.778,Denmark
4383,Emerson Avintes,26,Chapecoense,71,71,1.778,Brazil
4384,Saberto Botelho,30,Atlético Paranaense,71,71,1.8288,Brazil
4385,J. Dahlin,31,Malmö FF,71,71,1.905,Sweden
4386,Martin Cordeia,34,Internacional,71,71,1.8034,Brazil
4387,A. Oukidja,29,FC Metz,71,72,1.8288,Algeria
4388,B. Angulo,22,,71,77,1.8288,Ecuador
4389,S. Burchert,28,SpVgg Greuther Fürth,71,71,1.8796,Germany
4390,Nélson Monte,22,Rio Ave FC,71,77,1.8796,Portugal
4391,D. Rojas,23,Universidad Católica,71,76,1.651,Chile
4392,Charles,24,Clube Sport Marítimo,71,77,1.8542,Brazil
4393,H. Wolf,19,FC Red Bull Salzburg,71,82,1.7526,Austria
4394,E. Videla,30,Club Atlético Aldosivi,71,71,1.7526,Argentina
4395,P. Ledesma,34,Patronato,71,71,1.778,Argentina
4396,R. van Drongelen,19,Hamburger SV,71,83,1.8542,Netherlands
4397,F. Jensen,20,FC Augsburg,71,80,1.8288,Finland
4398,Artur,22,Columbus Crew SC,71,76,1.8034,Brazil
4399,Edgar Costa,31,Clube Sport Marítimo,71,71,1.778,Portugal
4400,S. Martínez,24,CD Huachipato,71,74,1.7526,Chile
4401,D. Fisher,24,Preston North End,71,75,1.7526,England
4402,L. Clarke,33,Sheffield United,71,71,1.8796,England
4403,T. Hubočan,32,Olympique de Marseille,71,71,1.8288,Slovakia
4404,Dani Castellano,30,UD Las Palmas,71,71,1.8034,Spain
4405,Javi Castellano,30,UD Las Palmas,71,71,1.8288,Spain
4406,P. Olkowski,28,Bolton Wanderers,71,71,1.8288,Poland
4407,M. Caligiuri,34,SpVgg Greuther Fürth,71,71,1.8034,Germany
4408,Marlion Rolim,26,Cruzeiro,71,71,1.7526,Brazil
4409,D. Burn,26,Wigan Athletic,71,73,1.9812,England
4410,S. Schwab,27,SK Rapid Wien,71,72,1.8288,Austria
4411,O. Aina,21,Torino,71,80,1.8288,Nigeria
4412,A. Mina,27,Yeni Malatyaspor,71,73,1.905,Ecuador
4413,S. Guirassy,22,1. FC Köln,71,79,1.8796,France
4414,L. Paqarada,23,SV Sandhausen,71,75,1.8288,Kosovo
4415,J. Sánchez,28,Guadalajara,71,71,1.6764,Mexico
4416,J. Wallace,24,Millwall,71,74,1.778,England
4417,Jota,25,CD Nacional,71,75,1.7018,Portugal
4418,Jesús Imaz,27,Wisła Kraków,71,71,1.7526,Spain
4419,Dani Hernández,32,CD Tenerife,71,71,1.9558,Venezuela
4420,K. Diatta,19,Club Brugge KV,71,84,1.7526,Senegal
4421,X. Chavalerin,27,Stade de Reims,71,72,1.778,France
4422,G. Tzavellas,30,Alanyaspor,71,71,1.8288,Greece
4423,O. Omoijuanfo,24,Stabæk Fotball,71,78,1.8796,Norway
4424,S. Dimitrievski,24,Rayo Vallecano,71,77,1.8796,FYR Macedonia
4425,Eltildo Bessa,34,Paraná,71,71,1.651,Brazil
4426,B. Marshall,27,Norwich City,71,71,1.8034,England
4427,N. Mendez-Laing,26,Cardiff City,71,72,1.8034,England
4428,Álex Martínez,27,Granada CF,71,71,1.7526,Spain
4429,Z. Bakkali,22,RSC Anderlecht,71,77,1.6764,Belgium
4430,G. Gimbert,32,AC Ajaccio,71,71,1.8288,France
4431,M. Gajić,22,FC Girondins de Bordeaux,71,75,1.778,Serbia
4432,S. Aigner,30,KFC Uerdingen 05,71,71,1.8288,Germany
4433,P. Köpke,22,Hertha BSC,71,79,1.778,Germany
4434,F. Klos,30,DSC Arminia Bielefeld,71,71,1.9304,Germany
4435,K. McLean,26,Norwich City,71,73,1.8288,Scotland
4436,M. Olsson,30,Swansea City,71,71,1.778,Sweden
4437,C. Nyman,25,Eintracht Braunschweig,71,74,1.8542,Sweden
4438,O. Estupiñán,21,Vitória Guimarães,71,79,1.8288,Colombia
4439,B. Wright,25,Bristol City,71,74,1.8288,Australia
4440,J. Bednarek,22,Southampton,71,80,1.8796,Poland
4441,L. Vibe,31,Changchun Yatai FC,71,71,1.8034,Denmark
4442,O. Jiménez,29,Club América,71,71,1.8288,Mexico
4443,Alejandro Rodríguez,26,Empoli,71,71,1.8288,Spain
4444,T. Elphick,30,Hull City,71,71,1.8796,England
4445,David Ferreiro,30,SD Huesca,71,71,1.7018,Spain
4446,M. Gobbi,37,Parma,71,71,1.8288,Italy
4447,R. Insigne,24,Benevento,71,75,1.7272,Italy
4448,N. Gyömbér,25,Perugia,71,74,1.8796,Slovakia
4449,Túlio Sandoiro,34,América FC (Minas Gerais),71,71,1.8542,Brazil
4450,Hélder Barbosa,31,Akhisar Belediyespor,71,71,1.7272,Portugal
4451,B. Sako,30,West Bromwich Albion,71,71,1.8288,Mali
4452,M. Domizzi,38,Venezia FC,71,71,1.8542,Italy
4453,P. Oniangué,29,Stade Malherbe Caen,71,71,1.905,Congo
4454,P. Onuachu,24,FC Midtjylland,71,78,2.0066,Nigeria
4455,F. Balmont,38,Dijon FCO,71,71,1.6764,France
4456,Antoñito,30,Real Valladolid CF,71,71,1.7526,Spain
4457,A. Baby,29,Royal Antwerp FC,71,71,1.8288,Senegal
4458,B. Petković,23,Dinamo Zagreb,71,76,1.9304,Croatia
4459,Nélson Lenho,34,CD Aves,71,71,1.778,Portugal
4460,Gumbau,23,CD Leganés,71,77,1.8796,Spain
4461,C. Aboagye,23,Club Atlas,71,77,1.6256,Ghana
4462,Y. Erdoğan,25,Bursaspor,71,72,1.7018,Turkey
4463,Paulinho,32,US Cremonese,71,71,1.7526,Brazil
4464,J. Cooper,23,Millwall,71,75,1.9304,England
4465,S. Malone,27,Derby County,71,72,1.8796,England
4466,M. Maloča,29,SpVgg Greuther Fürth,71,71,1.905,Croatia
4467,G. Berardi,29,Leeds United,71,71,1.778,Switzerland
4468,Samu García,28,Levante UD,71,71,1.778,Spain
4469,T. Derijck,31,KAA Gent,71,71,1.8542,Belgium
4470,A. Khalili,26,Kasimpaşa SK,71,74,1.8288,Sweden
4471,Y. Endo,38,Gamba Osaka,71,71,1.778,Japan
4472,E. Kaçe,24,Panathinaikos FC,71,74,1.7018,Albania
4473,D. Machado,24,Atlético Nacional,71,75,1.7272,Colombia
4474,S. Plavšić,22,Sparta Praha,71,77,1.651,Serbia
4475,H. Reed,23,Blackburn Rovers,71,78,1.7526,England
4476,S. Klaiber,23,FC Utrecht,71,74,1.8288,Netherlands
4477,J. Boga,21,Sassuolo,71,81,1.7526,Ivory Coast
4478,D. Contento,28,Fortuna Düsseldorf,71,71,1.778,Germany
4479,S. Padoin,34,Cagliari,71,71,1.778,Italy
4480,D. Foulquier,25,Getafe CF,71,76,1.8288,France
4481,Paco Montañés,31,CD Tenerife,71,71,1.7272,Spain
4482,T. Dingomé,27,Stade de Reims,71,72,1.7526,France
4483,D. Kądzior,26,Dinamo Zagreb,71,72,1.7526,Poland
4484,E. Taşdemir,22,Bursaspor,71,78,1.7526,Turkey
4485,P. Coutts,29,Sheffield United,71,71,1.8288,Scotland
4486,D. Dumić,26,SG Dynamo Dresden,71,74,1.9304,Bosnia Herzegovina
4487,Juan Carlos,30,CD Lugo,71,71,1.8796,Spain
4488,S. Privat,28,Valenciennes FC,71,71,1.8796,France
4489,G. Montiel,21,River Plate,71,80,1.7526,Argentina
4490,João Gamboa,21,Clube Sport Marítimo,71,79,1.8796,Portugal
4491,A. Zhirov,27,SV Sandhausen,71,74,1.9304,Russia
4492,M. Tosetti,26,FC Thun,71,72,1.7526,Switzerland
4493,André Milazisco,34,Atlético Paranaense,71,71,1.8796,Brazil
4494,M. Colin,26,Birmingham City,71,72,1.8034,France
4495,F. Jozefzoon,27,Derby County,71,71,1.7526,Netherlands
4496,D. Moor,34,Toronto FC,71,71,1.8288,United States
4497,A. Turan,34,Atiker Konyaspor,71,71,1.8542,Turkey
4498,O. Bayram,26,Galatasaray SK,71,72,1.7272,Turkey
4499,S. Bossut,32,SV Zulte-Waregem,71,71,1.8796,Belgium
4500,J. Irvine,25,Hull City,71,75,1.8796,Australia
4501,D. Biraschi,23,Genoa,71,78,1.8288,Italy
4502,A. Bouchalakis,25,Olympiacos CFP,71,73,1.8796,Greece
4503,A. Voglsammer,26,DSC Arminia Bielefeld,71,73,1.778,Germany
4504,Son Jun Ho,26,Jeonbuk Hyundai Motors,71,74,1.778,Korea Republic
4505,A. El Said,32,Al Ahli,71,71,1.7526,Egypt
4506,A. Yiadom,26,Reading,71,72,1.8034,Ghana
4507,W. Sobota,31,FC St. Pauli,71,71,1.7526,Poland
4508,I. Latovlevici,32,Bursaspor,71,71,1.7526,Romania
4509,B. Leal,36,San Luis de Quillota,71,71,1.7272,Chile
4510,E. Zelazny,26,Stade Malherbe Caen,71,74,1.8542,France
4511,A. Brignoli,26,Palermo,71,73,1.8796,Italy
4512,K. Narey,23,Hamburger SV,71,74,1.8034,Germany
4513,M. Pugh,31,Bournemouth,71,71,1.8034,England
4514,S. McTominay,21,Manchester United,71,81,1.9304,Scotland
4515,Fabrício Baiano,26,Clube Sport Marítimo,71,75,1.778,Brazil
4516,F. Navarro,29,Club León,71,71,1.651,Mexico
4517,R. Bajić,24,Medipol Başakşehir FK,71,76,1.8796,Bosnia Herzegovina
4518,M. Le Bihan,28,OGC Nice,71,71,1.8288,France
4519,A. Rentería,25,Cruz Azul,71,75,1.778,Colombia
4520,A. Leya Iseka,20,Toulouse Football Club,71,78,1.8288,Belgium
4521,André Moreira,22,Aston Villa,71,80,1.9304,Portugal
4522,C. Gülselam,30,Alanyaspor,71,71,1.9304,Turkey
4523,M. Rodríguez,32,Universidad de Chile,71,71,1.778,Argentina
4524,G. Litteri,30,Venezia FC,71,71,1.8542,Italy
4525,Raphael Rossi,27,FC Sion,71,72,1.8796,Brazil
4526,B. Kamara,21,RC Strasbourg Alsace,71,77,1.9304,France
4527,R. Oshima,25,Kawasaki Frontale,71,73,1.6764,Japan
4528,L. Bruins,31,Excelsior,71,71,1.8034,Netherlands
4529,N. Kebano,26,Fulham,71,72,1.7018,DR Congo
4530,Wiliam Santinho,34,Fluminense,71,71,1.9558,Brazil
4531,L. Sadiku,26,Kasimpaşa SK,71,73,1.8542,Kosovo
4532,Y. Barbet,25,Brentford,71,74,1.8796,France
4533,Javi Moyano,32,Real Valladolid CF,71,71,1.8034,Spain
4534,J. McLaughlin,29,Sunderland,71,72,1.8796,Scotland
4535,M. Büchel,27,Empoli,71,71,1.7526,Liechtenstein
4536,B. Oviedo,28,Sunderland,71,71,1.7272,Costa Rica
4537,J. Osorio,26,Toronto FC,71,74,1.7526,Canada
4538,Wagner Orsinho,30,Fluminense,71,71,1.7526,Brazil
4539,J. Elías,22,Godoy Cruz,71,78,1.8034,Argentina
4540,Evandro,31,Hull City,71,71,1.778,Brazil
4541,Manu Morlanes,19,Villarreal CF,71,83,1.778,Spain
4542,K. Großkreutz,29,KFC Uerdingen 05,71,71,1.8542,Germany
4543,T. Kessler,32,1. FC Köln,71,71,1.9812,Germany
4544,M. Beevers,28,Bolton Wanderers,71,71,1.9304,England
4545,D. Gastaldello,35,Brescia,71,71,1.8542,Italy
4546,P. Faragò,25,Cagliari,71,73,1.8796,Italy
4547,C. Ramírez,30,Rionegro Águilas,71,71,1.8288,Colombia
4548,I. Bennacer,20,Empoli,71,82,1.7272,Algeria
4549,O. Coulibaly,28,Panathinaikos FC,71,71,1.8288,Mali
4550,Alex Alegría,25,Rayo Vallecano,71,74,1.8796,Spain
4551,C. Adjapong,20,Sassuolo,71,81,1.8034,Italy
4552,Dorado,35,Rayo Vallecano,71,71,1.8034,Spain
4553,J. Walters,34,Ipswich Town,71,71,1.8288,Republic of Ireland
4554,A. De Sart,21,Sint-Truidense VV,71,78,1.8034,Belgium
4555,Luisinho Conradi,30,Atlético Mineiro,71,71,1.7526,Brazil
4556,B. Özcan,20,VfB Stuttgart,71,78,1.8034,Turkey
4557,P. Bamford,24,Leeds United,71,76,1.8542,England
4558,R. López,25,Pachuca,71,76,1.8542,Mexico
4559,F. Monteseirín,23,Club Atlético Lanús,71,78,1.8288,Argentina
4560,A. Calabresi,22,Bologna,71,79,1.8542,Italy
4561,J. Léa Siliki,22,Stade Rennais FC,71,81,1.8288,France
4562,J. De Sart,23,KV Kortrijk,71,76,1.8542,Belgium
4563,M. Sylla,24,SV Zulte-Waregem,71,75,1.7526,Senegal
4564,K. Boli,27,Guizhou Hengfeng FC,71,74,1.8288,France
4565,D. Avdijaj,21,Willem II,71,78,1.7272,Kosovo
4566,Nauzet,33,UD Las Palmas,71,71,1.905,Spain
4567,G. Molins,29,Malmö FF,71,71,1.8542,Sweden
4568,M. Hector,25,Sheffield Wednesday,71,74,1.9304,Jamaica
4569,S. Andersson,26,1. FC Union Berlin,71,72,1.905,Sweden
4570,F. Erpen,35,San Martín de San Juan,71,71,1.8034,Argentina
4571,F. Meza,28,Colo-Colo,71,73,1.7526,Argentina
4572,D. Lemos,29,Patronato,71,71,1.778,Argentina
4573,Z. Kuzmanović,30,FC Basel 1893,71,71,1.8542,Serbia
4574,Lisandro Semedo,22,Fortuna Sittard,71,77,1.7526,Portugal
4575,J. Prior,22,FC Girondins de Bordeaux,71,77,1.8796,France
4576,V. Salazar,25,San Lorenzo de Almagro,71,76,1.7526,Argentina
4577,A. Diomande,28,Los Angeles FC,71,71,1.8034,Norway
4578,A. Niane,25,Sporting de Charleroi,71,73,1.8288,Mali
4579,Stephen Eustáquio,21,GD Chaves,71,83,1.778,Portugal
4580,W. Montoya,24,Cruz Azul,71,74,1.7526,Argentina
4581,Kadu,31,Göztepe SK,71,71,1.8796,Brazil
4582,D. Bentley,24,Brentford,71,76,1.8796,England
4583,B. Drągowski,20,Fiorentina,71,82,1.8796,Poland
4584,G. Mancini,22,Atalanta,71,80,1.905,Italy
4585,T. Clarke,30,Preston North End,71,71,1.8034,England
4586,F. Boeckx,31,RSC Anderlecht,71,71,1.8034,Belgium
4587,Adryan,23,FC Sion,71,77,1.7526,Brazil
4588,M. Grüttner,32, SSV Jahn Regensburg,71,71,1.8542,Germany
4589,J. Cevallos,23,Sporting Lokeren,71,76,1.8542,Ecuador
4590,L. Acosta,23,Belgrano de Córdoba,71,79,1.8796,Argentina
4591,M. Guendouzi,19,Arsenal,71,84,1.8542,France
4592,F. Nita,30,Sparta Praha,71,71,1.8288,Romania
4593,P. Ebert,31,SG Dynamo Dresden,71,71,1.7526,Germany
4594,D. Marshall,33,Hull City,71,71,1.905,Scotland
4595,K. Peterson,23,Heracles Almelo,71,77,1.8542,Sweden
4596,S. Lammers,21,SC Heerenveen,71,80,1.8796,Netherlands
4597,A. King,29,Leicester City,71,71,1.8288,Wales
4598,P. Mwene,24,1. FSV Mainz 05,71,78,1.7272,Austria
4599,Andrei Girotto,26,FC Nantes,71,73,1.8542,Brazil
4600,Danilo Silva,31,Los Angeles FC,71,71,1.8542,Brazil
4601,B. Kuscevic,22,Universidad Católica,71,81,1.8542,Chile
4602,D. Sallói,21,Sporting Kansas City,71,80,1.8542,Hungary
4603,Ukra,30,Santa Clara,71,71,1.7526,Portugal
4604,B. Acosta,31,SK Brann,71,71,1.8288,Costa Rica
4605,Tramontinaldo,34,Atlético Paranaense,71,71,1.7526,Brazil
4606,S. Hernández,31,Junior FC,71,71,1.778,Colombia
4607,L. Lacroix,26,Hamburger SV,71,76,1.9812,Switzerland
4608,A. Godoy,28,San Jose Earthquakes,71,71,1.8288,Panama
4609,N. McGinn,30,Aberdeen,71,71,1.778,Northern Ireland
4610,T. Boyd,23,Vitória Guimarães,71,76,1.8034,New Zealand
4611,M. Eikrem,27,Molde FK,71,71,1.8288,Norway
4612,Kang Hyeon Mu,23,Pohang Steelers,71,75,1.8542,Korea Republic
4613,H. Toledo,22,Argentinos Juniors,71,76,1.778,Argentina
4614,M. Lacen,34,Málaga CF,71,71,1.7526,Algeria
4615,E. Adu,27,AIK,71,71,1.778,Ghana
4616,L. Antei,26,Benevento,71,74,1.8796,Italy
4617,Adriano,30,Jeonbuk Hyundai Motors,71,71,1.7018,Brazil
4618,N. Foor,26,Vitesse,71,73,1.7272,Netherlands
4619,C. Quintana,30,Club Atlético Talleres,71,71,1.905,Argentina
4620,Ângelo Neto,26,Moreirense FC,71,71,1.8034,Brazil
4621,A. Tinnerholm,27,New York City FC,71,72,1.7526,Sweden
4622,V. Verre,24,Perugia,71,76,1.8034,Italy
4623,I. Provedel,24,Empoli,71,77,1.9304,Italy
4624,R. Herrera,29,Pachuca,71,71,1.8796,Uruguay
4625,J. Féret,35,AJ Auxerre,71,71,1.8796,France
4626,J. Attamah,24,Medipol Başakşehir FK,71,74,1.8034,Ghana
4627,Bremer,21,Torino,71,80,1.8288,Brazil
4628,Dorca,35,AD Alcorcón,71,71,1.8288,Spain
4629,Defendi,32,CD Aves,71,71,1.905,Brazil
4630,Jonas,26,Al Ittihad,71,72,1.8542,Brazil
4631,P. Armero,31,América de Cali,71,71,1.7526,Colombia
4632,H. Van Der Bruggen,25,KV Kortrijk,71,74,1.8034,Belgium
4633,L. Garritano,24,Cosenza,71,76,1.7272,Italy
4634,K. Balanta,21,Deportivo Cali,71,83,1.778,Colombia
4635,Silvosinho,34,Santos,71,71,1.778,Brazil
4636,Tony Muttinho,34,Paraná,71,71,1.8288,Brazil
4637,D. Petratos,25,Newcastle Jets,71,74,1.7526,Australia
4638,Manu Barreiro,31,Gimnàstic de Tarragona,71,71,1.905,Spain
4639,R. Köse,30,Kasimpaşa SK,71,71,1.9304,Turkey
4640,Oier,32,CA Osasuna,71,71,1.778,Spain
4641,N. Rimando,39,Real Salt Lake,71,71,1.778,United States
4642,J. Arzura,25,UD Almería,71,75,1.7526,Argentina
4643,S. Davis,25,New York Red Bulls,71,76,1.8288,United States
4644,Nacho Vidal,23,CA Osasuna,71,78,1.8034,Spain
4645,M. Samudio,31,Querétaro,71,71,1.7272,Paraguay
4646,M. Martin,30,Stade de Reims,71,71,1.7018,France
4647,F. Cubero,39,Vélez Sarsfield,71,71,1.7526,Argentina
4648,R. Baca,28,Cruz Azul,71,71,1.7018,Mexico
4649,Ivo Pinto,28,Norwich City,71,71,1.8288,Portugal
4650,S. Doukara,26,Antalyaspor,71,72,1.8542,France
4651,Y. Shakhov,27,PAOK,71,71,1.8796,Ukraine
4652,O. Çek,27,Kasimpaşa SK,71,72,1.7272,Turkey
4653,O. Zinchenko,21,Manchester City,71,81,1.7526,Ukraine
4654,S. Limbombe,27,KAA Gent,71,71,1.6764,Belgium
4655,K. Galanopoulos,20,AEK Athens,71,84,1.7272,Greece
4656,Feng Xiaoting,32,Guangzhou Evergrande Taobao FC,71,71,1.8796,China PR
4657,M. Jevtovic,24,Atiker Konyaspor,71,76,1.9304,Serbia
4658,Arroyo,29,Albacete BP,71,71,1.8034,Spain
4659,Joel Pereira,22,Vitória de Setúbal,71,82,1.8796,Portugal
4660,Xavier,25,CD Tondela,71,72,1.7526,Portugal
4661,E. Remedi,23,Atlanta United,71,79,1.7018,Argentina
4662,L. Mareček,28,Sporting Lokeren,71,71,1.8288,Czech Republic
4663,C. Martina,28,Stoke City,71,71,1.8542,Curacao
4664,K. Sugimoto,25,Cerezo Osaka,71,74,1.8796,Japan
4665,A. Wilkinson,33,Sydney FC,71,71,1.8796,Australia
4666,Mano,31,Vitória de Setúbal,71,71,1.7018,Portugal
4667,B. Rienstra,28,SC Heerenveen,71,71,1.8288,Netherlands
4668,Z. Kalmár,23,,71,78,1.8542,Hungary
4669,P. Aquino,23,Club León,71,76,1.7526,Peru
4670,R. Faty,31,MKE Ankaragücü,71,71,1.9304,Senegal
4671,M. te Wierik,26,FC Groningen,71,74,1.905,Netherlands
4672,J. Callsen-Bracker,33,FC Augsburg,71,71,1.8796,Germany
4673,J. Isijara,28,Santos Laguna,71,71,1.8034,Mexico
4674,R. Torres,32,Seattle Sounders FC,71,71,1.8796,Panama
4675,M. Çelik,21,LOSC Lille,71,83,1.8034,Turkey
4676,B. Sharp,32,Sheffield United,71,71,1.7526,England
4677,T. Tomiyasu,19,Sint-Truidense VV,71,82,1.8796,Japan
4678,G. Thorne,25,Derby County,71,75,1.8796,England
4679,O. Rashid,26,Santa Clara,71,74,1.7526,Iraq
4680,M. Al Owais,26,Al Ahli,71,73,1.8796,Saudi Arabia
4681,S. Palacios,26,Pachuca,71,72,1.7018,Argentina
4682,D. Benlamri,28,Al Shabab,71,71,1.8542,Algeria
4683,O. Haddadi,26,Dijon FCO,71,74,1.8288,Tunisia
4684,N. Katić,21,Rangers FC,71,83,1.9304,Croatia
4685,S. Thern,25,IFK Norrköping,71,74,1.8034,Sweden
4686,N. Bitton,26,Celtic,71,72,1.9304,Israel
4687,A. Søderlund,30,Rosenborg BK,71,71,1.8796,Norway
4688,A. Ateef,25,Al Hilal,71,74,1.7526,Saudi Arabia
4689,E. García,28,Pachuca,71,71,1.7018,Mexico
4690,Alexandre Guedes,24,Vitória Guimarães,71,76,1.8542,Portugal
4691,R. Hilbert,33,SpVgg Greuther Fürth,71,71,1.8288,Germany
4692,Álvaro Lemos,25,UD Las Palmas,71,74,1.7526,Spain
4693,Flávio,24,CD Feirense,71,76,1.905,Brazil
4694,Pombaxinho,34,Vitória,71,71,1.905,Brazil
4695,R. Sawyers,26,Brentford,71,72,1.8542,St Kitts Nevis
4696,D. Lekić,33,Cádiz CF,71,71,1.9304,Serbia
4697,N. Champagne,33,Real Oviedo,71,71,1.905,Argentina
4698,Fábio,27,FC Nantes,71,71,1.7272,Brazil
4699,Deivid,29,UD Las Palmas,71,71,1.8796,Spain
4700,B. Hämäläinen,29,SG Dynamo Dresden,71,71,1.778,Denmark
4701,S. Dubarbier,32,Deportivo de La Coruña,71,71,1.778,Argentina
4702,L. Cavanda,27,Standard de Liège,71,71,1.8034,Belgium
4703,Patrick,27,Santa Clara,71,72,1.7272,Brazil
4704,C. Cisneros,24,Guadalajara,71,74,1.7526,Mexico
4705,J. Brownhill,22,Bristol City,71,79,1.778,England
4706,Heitinho Zanon,34,Bahia,71,71,1.8796,Brazil
4707,J. Bolingi,24,Royal Antwerp FC,71,76,1.8796,DR Congo
4708,E. Conde,35,,71,71,1.8796,Uruguay
4709,T. Hemed,31,Queens Park Rangers,71,71,1.8542,Israel
4710,L. Krajnc,23,Frosinone,71,75,1.8796,Slovenia
4711,P. Terracciano,28,Empoli,71,72,1.9304,Italy
4712,N. Pasquini,27,Club Atlético Lanús,71,72,1.7272,Argentina
4713,G. Acosta,29,Atlético Tucumán,71,71,1.6764,Argentina
4714,Fernando Boldrin,29,Çaykur Rizespor,71,71,1.8034,Brazil
4715,Fidel,28,UD Las Palmas,71,71,1.8034,Spain
4716,M. Rodriguez,27,San Luis de Quillota,71,71,1.8034,Uruguay
4717,K. Sema,24,Watford,71,73,1.8034,Sweden
4718,Y. Candelo,26,Atlético Nacional,71,71,1.7018,Colombia
