,Name,Age,Club,OVA,POT,Height,Nationality,BP,PAC,SHO,PAS,DRI,DEF,PHY
4927,K. Przybyłko,27,Philadelphia Union,70,71,193,Poland,ST,68,70,54,65,28,76
4928,H. Çalhanoğlu,26,Milan,79,79,178,Turkey,CAM,65,75,82,84,59,57
4929,S. Novothny,26,VfL Bochum 1848,63,64,185,Hungary,ST,45,64,41,55,26,69
4930,A. Doucouré,27,Everton,78,80,183,France,CDM,68,74,71,74,76,82
4931,Lucas Torró,25,CA Osasuna,73,77,190,Spain,CDM,45,63,64,64,72,73
4932,Gabriel,26,SL Benfica,79,80,188,Brazil,CM,63,74,77,79,77,83
4933,D. Bessa,26,Hellas Verona,75,76,178,Italy,CAM,61,69,74,78,55,49
4934,D. Adorni,26,Cittadella,70,73,183,Italy,CB,71,40,50,52,71,68
4935,L. Veldwijk,27,Jeonbuk Hyundai Motors,68,68,196,South Africa,ST,54,68,51,59,31,73
4936,Juanto Ortuño,28,C.D. Castellón,67,67,178,Spain,ST,71,66,57,70,21,64
4937,F. Andrada,26,Club Atlético Aldosivi,67,69,180,Argentina,ST,74,70,63,64,27,65
4938,M. Frey,25,Fenerbahçe SK,70,73,188,Switzerland,ST,63,70,56,64,30,84
4939,D. Jevtić,26,Lech Poznań,72,74,183,Switzerland,CAM,71,66,71,71,45,64
4940,B. Djimsiti,27,Atalanta,76,78,190,Albania,CB,40,39,59,48,79,77
4941,J. Guthrie,27,Livingston FC,65,66,193,England,CB,54,28,50,51,65,76
4942,Kim Kyung Jung,29,Gangwon FC,63,63,178,Korea Republic,LW,81,49,56,63,46,46
4943,P. Mantalos,28,AEK Athens,75,75,175,Greece,CAM,73,69,75,78,50,61
4944,A. Samaris,31,SL Benfica,77,77,188,Greece,CB,55,66,70,70,78,82
4945,L. Spendlhofer,27,SK Sturm Graz,68,70,188,Austria,CB,70,51,58,49,67,77
4946,A. Bakasetas,27,Alanyaspor,72,73,180,Greece,CAM,68,74,74,69,43,71
4947,S. Longo,28,Inter,68,68,185,Italy,ST,72,68,56,68,37,73
4948,D. Kourmpelis,26,Panathinaikos FC,73,77,180,Greece,CDM,75,52,64,67,71,75
4949,B. Cristante,25,Roma,78,82,185,Italy,CDM,55,72,75,75,75,75
4950,R. Saïss,30,Wolverhampton Wanderers,78,78,188,Morocco,CB,62,56,70,70,78,76
4951,K. Antonsen,24,Tromsø IL,64,69,173,Norway,CDM,81,61,59,66,61,77
4952,M. Belyaev,27,Russia,72,74,188,Russia,CB,67,28,51,39,74,68
4953,A. Gilbey,25,Charlton Athletic,65,70,183,England,CM,76,60,61,66,62,78
4954,M. Stępiński,25,Hellas Verona,71,75,183,Poland,ST,69,69,58,71,37,73
4955,I. Cissé,25,Fulham,68,73,180,Guinea,CB,72,47,59,63,68,73
4956,C. Rivieyran,27,Chamois Niortais Football Club,67,67,173,France,LB,70,43,61,62,60,73
4957,P. Polomat,26,Gençlerbirliği SK,70,72,183,France,LWB,78,52,65,65,65,75
4958,A. Januzaj,25,Real Sociedad,80,83,185,Belgium,CAM,78,75,78,83,30,58
4959,E. Can,26,Borussia Dortmund,82,84,185,Germany,CB,74,78,79,80,83,87
4960,J. Hector,30,1. FC Köln,77,77,185,Germany,CDM,69,60,74,75,77,74
4961,L. Kübler,27,SC Freiburg,72,72,180,Germany,RB,67,45,57,62,72,66
4962,O. Niasse,29,Everton,72,72,183,Senegal,ST,72,71,55,69,29,69
4963,K. Osyra,27,Podbeskidzie Bielsko-Biała,63,65,190,Poland,CB,66,46,46,43,62,71
4964,Clinton Mata,27,Club Brugge KV,77,79,180,Angola,CB,82,61,70,77,77,81
4965,M. Saeid,29,IK Sirius,67,67,170,Eritrea,LM,71,61,65,71,55,66
4966,A. Wooten,30,Philadelphia Union,70,70,185,United States,ST,71,70,64,68,34,73
4967,M. Müller,26,FC Luzern,75,79,193,Germany,GK,74,74,68,79,32,75
4968,G. González,32,LA Galaxy,71,71,185,Costa Rica,CB,60,45,49,59,71,73
4969,R. Abdullah,24,Waasland-Beveren,68,73,180,Comoros,CDM,65,62,63,68,65,70
4970,H. Gnohéré,32,Royal Excel Mouscron,71,71,183,France,ST,66,72,57,64,36,83
4971,Y. Carrasco,26,Atlético Madrid,82,82,180,Belgium,LM,91,81,75,84,36,65
4972,Saúl,25,Atlético Madrid,84,87,183,Spain,CM,68,79,79,81,78,79
4973,M. Ricci,26,Spezia,69,71,175,Italy,CAM,72,59,67,69,54,62
4974,T. Pettersson,30,FC Cincinnati,69,69,190,Sweden,CB,52,53,56,57,66,79
4975,M. Eriksson,30,Djurgårdens IF,69,69,180,Sweden,CM,51,69,71,67,51,80
4976,M. Danielson,31,Dalian YiFang FC,73,73,193,Sweden,CB,50,28,49,56,76,71
4977,E. Forsberg,28,RB Leipzig,79,79,178,Sweden,CAM,70,71,81,81,32,61
4978,C. Hérelle,27,Stade Brestois 29,75,76,190,France,CB,61,49,61,62,77,74
4979,Andreas Pereira,24,Manchester United,75,78,178,Brazil,CAM,73,72,77,77,66,68
4980,R. Quaison,26,1. FSV Mainz 05,76,77,183,Sweden,ST,75,77,68,79,44,69
4981,M. Dijks,27,Bologna,72,73,193,Netherlands,CB,69,40,65,65,71,77
4982,M. de Roon,29,Atalanta,81,81,185,Netherlands,CDM,64,68,72,72,82,80
4983,R. Pröpper,26,Heracles Almelo,68,70,190,Netherlands,CB,44,52,59,52,68,74
4984,F. Holland,29,SV Darmstadt 98,71,71,173,Germany,LB,71,45,61,69,68,70
4985,Zhou Dingyang,26,Henan Jianye FC,68,71,180,Chinese Taipei,CDM,67,61,65,66,69,73
4986,L. Ralte,25,India,61,62,173,India,LW,78,58,55,62,35,52
4987,M. Dabbur,28,TSG 1899 Hoffenheim,79,79,183,Israel,ST,70,78,66,79,32,69
4988,J. Van Rankin B,27,Santos Laguna,72,73,178,Mexico,RB,77,39,63,68,68,71
4990,R. Zozulya,30,Albacete BP,70,70,180,Ukraine,ST,76,68,58,64,44,81
4991,T. Foket,25,Stade de Reims,77,80,178,Belgium,RB,75,57,70,72,73,76
4992,A. Guido,26,Los Angeles FC,64,67,178,United States,CAM,63,61,64,67,51,55
4993,H. Sakai,30,Olympique de Marseille,78,78,183,Japan,RB,76,54,68,67,76,79
4994,F. Brillant,35,DC United,67,67,188,France,CB,31,33,49,43,68,72
4995,H. Magnússon,27,PFC CSKA Moscow,73,76,190,Iceland,CB,69,50,66,61,74,73
4996,A. Mawson,26,Bristol City,70,74,188,England,CB,54,39,49,57,71,69
4997,A. Duncan,27,Fiorentina,74,75,178,Ghana,CDM,70,63,73,72,76,75
4998,C. Howieson,24,New Zealand,62,65,180,New Zealand,CAM,70,57,62,62,51,67
4999,A. Rose,30,Vancouver Whitecaps FC,65,65,188,Australia,CB,66,58,57,61,61,76
5000,K. Thomas,23,Doncaster Rovers,61,68,178,England,ST,74,57,43,57,32,64
5001,P. Ankersen,29,FC København,72,72,178,Denmark,RB,80,62,67,70,66,71
5002,F. Kostić,27,Eintracht Frankfurt,83,83,183,Serbia,LM,88,76,79,83,68,80
5003,F. Torsteinbø,29,Viking FK,63,63,183,Norway,CAM,67,61,63,65,53,69
5004,A. Ngando,26,AJ Auxerre,67,68,178,France,CAM,64,66,68,72,37,37
5005,K. Pusch,27,KFC Uerdingen 05,66,67,180,Germany,CAM,67,64,65,66,55,66
5006,M. Armellino,30,AC Monza,62,62,175,Italy,CDM,63,41,58,63,58,65
5007,M. Delgado,25,Toronto FC,69,71,175,United States,CDM,69,55,62,68,65,69
5008,A. Belotti,26,Torino,80,83,180,Italy,ST,76,81,57,77,41,81
5009,H. Hermannsson,25,Brøndby IF,67,71,190,Iceland,CB,50,24,50,55,65,75
5010,M. Mantovani,35,UD Las Palmas,68,68,183,Argentina,CB,33,42,53,57,69,68
5011,A. Uryga,26,Wisła Płock,66,69,190,Poland,CB,52,43,54,44,63,77
5012,C. Jullien,27,Celtic,75,78,196,France,CB,65,50,61,59,74,84
5013,Lucas Vázquez,29,Real Madrid,80,80,173,Spain,RW,81,73,78,81,58,69
5014,Omar Mascarell,27,FC Schalke 04,79,80,180,Spain,CDM,63,61,72,77,75,73
5015,Rubén Sobrino,28,Valencia CF,75,75,185,Spain,ST,79,75,62,74,40,67
5016,A. Said,27,Rio Ave FC,67,68,180,Italy,ST,70,66,49,66,23,63
5017,D. Furman,27,Gençlerbirliği SK,69,69,180,Poland,CM,66,63,71,67,65,71
5018,F. Starzyński,29,Zagłębie Lubin,70,70,183,Poland,CM,44,67,74,72,47,61
5019,M. Lais,29,SV Wehen Wiesbaden,65,65,183,Germany,CDM,79,55,60,66,62,64
5020,Rober Correa,27,SD Eibar,70,70,180,Spain,RB,67,43,60,62,68,70
5021,J. Moore-Taylor,26,Forest Green Rovers,66,71,178,England,CB,66,36,58,56,64,78
5022,M. Beck,26,Harrogate Town,58,59,196,Scotland,ST,58,57,47,55,38,72
5023,D. Henen,24,Sporting de Charleroi,67,71,185,Togo,ST,75,68,59,71,26,61
5024,H. Ziyech,27,Chelsea,85,86,180,Morocco,CAM,80,76,87,84,50,66
5025,T. Watt,26,Motherwell,66,69,183,Scotland,ST,73,67,48,68,25,72
5026,M. Kerhe,33,SV Ried,68,68,170,Austria,RWB,73,54,62,66,63,62
5027,C. Smith,24,Dundee United,63,68,175,Scotland,CAM,77,58,58,65,26,62
5028,D. Blum,29,VfL Bochum 1848,73,73,183,Germany,LM,85,72,66,76,32,66
5029,D. Grigore,33,Romania,69,69,185,Romania,CB,62,52,57,48,69,76
5030,P. Kühn,27,VfL Osnabrück,71,72,188,Germany,GK,72,64,69,78,49,75
5031,S. Mané,28,Liverpool,90,90,175,Senegal,LW,94,85,80,90,44,76
5032,J. Schauerte,31,SC Preußen Münster,65,65,178,Germany,RWB,69,40,60,63,63,65
5033,E. Valentini  B,31,1. FC Nürnberg,68,68,183,Germany,RB,71,55,66,67,63,73
5034,R. Edwards,26,Dundee United,65,67,188,England,CB,51,34,44,48,67,70
5035,W. Vaulks,26,Cardiff City,71,73,180,Wales,CDM,57,62,64,64,70,77
5036,Óliver Torres,25,Sevilla FC,77,82,175,Spain,CAM,65,67,78,82,63,55
5037,N. Manfredini,32,Benevento,66,66,190,Italy,GK,69,64,63,69,44,63
5038,M. van der Hart,26,Lech Poznań,68,72,188,Netherlands,GK,70,64,70,72,42,64
5039,A. Thomasson,26,RC Strasbourg Alsace,77,80,178,France,CAM,69,72,76,78,65,68
5040,L. Gambin,27,Colchester United,62,63,168,Malta,CAM,68,53,58,69,36,42
5041,R. Jaadi,23,Royal Antwerp FC,64,69,183,Belgium,RW,76,62,62,69,37,56
5042,M. Fox,26,Stoke City,69,70,185,Wales,LB,63,43,57,61,68,69
5043,Q. Promes,28,Ajax,82,82,175,Netherlands,CAM,89,80,79,82,46,71
5044,G. Williams,24,Grimsby Town,62,67,173,Wales,RM,76,61,59,67,31,60
5045,Andy,30,UD Logroñés,68,68,185,Spain,CDM,55,62,71,62,62,70
5046,Marcos Júnior,27,Yokohama F. Marinos,74,74,168,Brazil,CAM,89,74,68,76,36,63
5047,J. Vardy,33,Leicester City,86,86,178,England,ST,88,85,66,78,55,75
5048,S. McNulty,34,Tranmere Rovers,62,62,185,England,CB,29,25,43,35,63,63
5049,K. Morris,26,Tranmere Rovers,64,65,178,England,RM,76,61,57,66,48,68
5050,Q. Bernard,30,AJ Auxerre,71,71,183,France,LB,63,57,70,64,67,77
5051,J. Roye,29,GFC Ajaccio,69,69,175,France,CAM,69,67,69,68,49,65
5052,Cicinho,31,Bulgaria,71,71,168,Bulgaria,RB,78,53,66,74,67,59
5053,A. Ndiaye,29,AC Ajaccio,66,66,178,France,RM,86,63,53,71,27,60
5054,S. Byram,26,Norwich City,73,74,183,England,LB,71,60,66,72,71,70
5055,F. Bednarek,27,Lech Poznań,68,71,188,Poland,GK,66,65,64,70,43,68
5058,O. Hawsawi,34,Al Nassr,67,67,185,Saudi Arabia,CB,61,29,44,46,66,77
5059,M. Al Sahlawi,33,Al Taawoun,64,64,178,Saudi Arabia,ST,55,66,60,62,22,66
5060,K. Al Ghamdi,32,Al Shabab,67,67,165,Saudi Arabia,RB,83,31,60,66,60,66
5061,R. Gauld,24,Farense,70,75,170,Scotland,CAM,80,57,68,76,36,42
5062,N. Aké,25,Manchester City,79,83,180,Netherlands,CB,74,53,70,71,81,76
5063,H. Sulaimani,43,Al Ahli,64,64,173,Saudi Arabia,CDM,43,53,68,64,64,72
5064,N. Knight-Percival,33,Morecambe,62,62,183,England,CB,55,30,40,46,62,72
5065,A. Götz,23,Roda JC Kerkrade,65,67,178,Germany,RB,76,30,51,63,62,65
5066,N. Al Abed,30,Al Hilal,69,69,170,Saudi Arabia,CAM,70,70,69,72,45,60
5067,A. Asiri,28,Al Taawoun,65,65,178,Saudi Arabia,CB,63,30,45,40,64,75
5068,J. Müller,30,SpVgg Unterhaching,65,65,183,Germany,RM,78,59,59,66,39,64
5069,H. Shaian,31,Al Taawoun,60,60,183,Saudi Arabia,GK,61,57,55,63,48,58
5070,F. Ladapo,27,Rotherham United,67,68,183,England,ST,81,65,45,65,25,71
5071,S. Al Qumayzi,28,Ettifaq FC,64,64,180,Saudi Arabia,RB,72,38,54,62,58,76
5072,S. Al Dosari,28,Al Fateh,57,57,178,Saudi Arabia,RM,71,44,53,60,44,60
5073,S. Mandé,27,Odense Boldklub,62,65,193,Ivory Coast,GK,63,61,58,63,43,62
5074,L. Cardozo,31,Club Libertad,70,70,180,Paraguay,CB,77,35,46,54,70,73
5075,A. Al Kassar,29,Al Faisaly,62,62,178,Saudi Arabia,GK,62,60,54,67,41,60
5076,D. Moberg Karlsson,26,Sparta Praha,73,74,178,Sweden,RM,87,67,66,74,30,59
5077,S. Hedlund,27,Brøndby IF,71,71,173,Sweden,RW,91,64,65,75,27,67
5078,P. Frick,28,IF Elfsborg,66,66,183,Sweden,ST,73,64,57,59,36,82
5079,S. Holmén,28,Willem II,74,74,188,Sweden,CB,61,36,49,46,77,75
5080,C. Rivero,27,Caracas FC,66,66,178,Venezuela,CB,54,32,48,60,65,68
5081,R. Quijada,31,Alianza Lima,67,67,185,Venezuela,CB,64,33,52,51,69,67
5082,M. Etxeberría,26,Paraguay,74,74,183,Paraguay,LM,80,60,72,77,54,69
5083,J. Correa,26,Alianza Petrolera,66,67,185,Colombia,ST,70,62,43,62,32,78
5084,T. Bu Haymid,32,Al Fateh,65,65,170,Saudi Arabia,LB,70,59,63,66,58,71
5085,P. Wiegers,30,SG Dynamo Dresden,65,66,188,Germany,GK,65,66,61,68,45,59
5086,S. Nachreiner,31,SSV Jahn Regensburg,68,68,188,Germany,CB,48,23,37,35,70,70
5087,P. Ziereis,27,FC St. Pauli,67,70,188,Germany,CB,72,24,52,56,67,68
5088,A. Khrees,29,Al Faisaly,62,62,178,Saudi Arabia,RB,68,50,53,57,58,70
5089,A. Khamis,31,Al Nassr,66,66,173,Saudi Arabia,LB,70,51,61,67,60,69
5090,Guilherme,29,Olympiacos CFP,77,77,178,Brazil,CDM,69,65,72,71,73,78
5091,R. Willmott,30,Newport County,59,59,175,England,RM,81,56,58,63,55,64
5092,B. Finne,25,Vålerenga Fotball,66,69,173,Norway,RM,77,64,56,70,23,63
5093,D. Rose,32,Grimsby Town,62,62,170,England,CM,56,57,61,61,59,64
5094,F. Adarabioyo,22,NAC Breda,62,70,190,England,ST,71,60,58,57,37,77
5095,D. Rowe,30,Oldham Athletic,62,62,183,England,ST,64,63,51,59,30,70
5096,Y. Al Shehri,30,Al Nassr,69,69,165,Saudi Arabia,RM,67,65,70,73,34,53
5097,B. Mugabi,25,Motherwell,60,64,190,Uganda,CB,66,32,43,48,58,71
5098,J. Dongou Tsafack,23,CD Lugo,66,73,175,Cameroon,ST,86,61,50,68,27,67
5099,F. Mollet,28,Montpellier HSC,78,78,170,France,CAM,74,75,79,80,50,60
5100,Kévin Rodrigues,26,SD Eibar,74,75,170,Portugal,LM,68,59,75,72,70,60
5101,Fred,27,Manchester United,81,83,170,Brazil,CM,79,71,79,83,75,70
5102,M. Poundjé,27,FC Girondins de Bordeaux,73,73,180,France,LB,77,35,63,71,69,70
5103,J. Iloki,25,FC Nantes,68,69,173,France,RM,81,60,61,71,28,44
5104,Tiago Volpi,27,Querétaro,78,80,185,Brazil,GK,83,67,66,82,58,78
5105,D. Butler,25,Peterborough United,65,68,178,England,LWB,73,44,56,62,59,73
5106,P. Vlachodimos,28,SG Dynamo Dresden,68,68,183,Greece,LM,74,64,64,68,34,61
5107,B. de Jong,24,RSC Anderlecht,62,66,183,Netherlands,GK,60,58,63,65,53,58
5108,N. Saint-Ruf,26,US Orléans Loiret Football,65,68,188,France,CB,69,27,49,55,63,72
5109,Dória,25,Santos Laguna,74,77,188,Brazil,CB,58,59,59,57,74,77
5110,M. Salah,28,Liverpool,90,90,175,Egypt,RW,93,86,81,90,45,75
5111,C. Maxwell,29,Blackpool,67,67,185,Wales,GK,67,65,68,69,42,65
5112,S. Grether,28,FC Luzern,65,65,178,Switzerland,RB,64,51,60,61,63,66
5113,K. Haugen,26,Molde FK,68,70,188,Norway,LWB,76,59,65,64,62,73
5114,B. O'Neill,26,Pohang Steelers,69,72,178,Australia,CM,65,59,70,68,65,78
5115,T. Payne,26,New Zealand,65,67,178,New Zealand,CB,70,58,62,61,61,77
5116,B. Turgott,26,Östersunds FK,62,63,183,England,LM,76,55,53,66,23,51
5117,B. van Polen,34,PEC Zwolle,67,67,178,Netherlands,CDM,63,51,61,66,67,70
5118,M. Saymak,27,PEC Zwolle,69,70,170,Netherlands,CAM,72,67,65,72,44,55
5119,B. van Hintum,33,FC Groningen,68,68,178,Netherlands,LB,58,53,67,64,68,66
5120,D. Anderson,25,Lazio,65,69,180,Netherlands,RB,78,38,55,64,60,66
5121,E. Acolatse,23,Sint-Truidense VV,68,72,180,Netherlands,RW,81,66,63,69,26,62
5122,L. Lollo,28,Venezia FC,70,70,180,Italy,RM,79,61,70,72,60,77
5123,R. Murawski,26,Denizlispor,69,72,173,Poland,CDM,80,54,69,71,66,77
5124,M. Michel,28,AJ Auxerre,70,72,188,France,GK,70,68,66,72,49,69
5125,R. Ripart,27,Nîmes Olympique,71,72,180,France,ST,71,73,66,71,60,75
5126,A. Gyurcsó,27,Hungary,70,70,180,Hungary,RW,89,67,65,71,33,61
5127,Romarinho,29,Al Ittihad,74,74,175,Brazil,LW,86,70,67,78,30,62
5128,E. Hooi,27,ADO Den Haag,64,64,170,Curacao,LW,91,52,57,69,23,43
5129,Gerso,29,Sporting Kansas City,73,73,173,Guinea Bissau,LW,93,66,62,76,41,50
5130,A. Frączczak,32,Pogoń Szczecin,66,66,183,Poland,ST,71,64,64,64,63,75
5131,R. Bingham,25,Doncaster Rovers,61,64,180,England,ST,81,57,47,61,21,54
5132,J. O'Sullivan,26,Morecambe,64,64,180,Republic of Ireland,RM,79,55,59,64,51,67
5133,M. Hassen,24,KSV Cercle Brugge,69,72,185,Tunisia,GK,72,65,64,71,48,66
5134,H. Sacko,26,Denizlispor,68,69,183,Mali,ST,88,68,58,69,27,70
5135,A. Mühling,27,Holstein Kiel,72,72,185,Germany,CM,70,65,72,73,57,72
5136,D. Daniels,26,Crewe Alexandra,64,66,185,Montserrat,CB,68,28,42,46,64,69
5137,Fabinho,26,Liverpool,87,89,188,Brazil,CDM,67,69,79,77,85,83
5138,Q. Menig,24,FC Twente,65,68,175,Netherlands,RM,87,58,54,72,28,52
5139,B. Hrgota,27,SpVgg Greuther Fürth,70,70,185,Sweden,ST,71,74,63,71,26,65
5140,A. Corryn,26,KSV Cercle Brugge,69,71,178,Belgium,CDM,67,33,61,66,67,65
5141,G. Laborde,26,Montpellier HSC,76,79,180,France,ST,70,75,69,74,34,79
5142,D. González,26,Paraguay,76,77,175,Paraguay,LM,86,70,69,78,47,62
5143,M. Tanković,25,Hammarby IF,73,76,180,Sweden,CAM,76,69,69,74,37,71
5144,D. Bachmann,25,Watford,69,74,190,Austria,GK,68,67,68,69,43,65
5145,Vaná,25,CD Feirense,75,80,193,Brazil,GK,75,71,69,79,50,75
5147,S. Mitrović,30,RC Strasbourg Alsace,74,74,188,Serbia,CB,34,34,50,53,75,79
5148,C. Brown,27,Barrow,58,58,175,England,RWB,74,30,47,57,53,62
5149,B. Al Nakhli,32,Al Adalah,61,61,178,Saudi Arabia,CB,60,39,49,53,60,65
5150,M. Al Fehaid,30,Al Fateh,63,63,178,Saudi Arabia,CDM,62,43,54,61,60,75
5151,R. Sufyani,33,Al Taawoun,65,65,178,Saudi Arabia,RM,69,63,62,65,34,68
5152,Antônio Carlos,27,Orlando City SC,67,70,190,Brazil,CB,60,34,34,40,68,74
5153,D. Gravenberch,26,Sparta Rotterdam,63,65,185,Netherlands,ST,70,61,51,61,59,73
5154,J. Vázquez,32,Guadalajara,70,70,165,Mexico,CDM,72,53,68,66,71,70
5155,P. Iemmello,28,Benevento,70,70,178,Italy,ST,79,70,59,70,22,65
5156,F. Tardieu,28,ESTAC Troyes,72,73,183,France,CDM,58,58,68,66,69,75
5157,A. Baba,25,Chelsea,75,78,180,Ghana,LB,78,50,66,75,72,67
5158,Mattheus Oliveira,25,Sporting CP,70,71,183,Brazil,CAM,64,67,72,70,55,55
5159,M. Vilotić,32,FC St. Gallen,66,66,190,Serbia,CB,36,46,50,55,66,69
5160,T. McNamee,26,Finn Harps,56,56,173,Republic of Ireland,LM,68,50,53,59,40,47
5161,L. Goretzka,25,FC Bayern München,84,88,188,Germany,CM,78,78,80,82,77,85
5162,S. Magnasco,27,Universidad Católica,72,72,175,Chile,RB,82,43,59,66,66,78
5163,K. Triantafyllopoulos,27,Pogoń Szczecin,66,69,185,Greece,CB,64,27,50,49,63,80
5164,D. Siovas,31,SD Huesca,75,75,193,Greece,CB,32,44,56,60,74,82
5165,D. Dessoleil,27,Sporting de Charleroi,73,75,188,Belgium,CB,52,46,52,48,75,76
5166,J. Donacien,26,Ipswich Town,64,66,183,Saint Lucia,CB,78,34,49,55,62,72
5167,Eugeni,25,SD Huesca,71,74,183,Spain,CAM,66,69,73,73,57,66
5168,B. Touré,28,AJ Auxerre,70,71,183,Mali,CDM,42,52,63,65,68,73
5169,B. Edomwonyi,25,FK Austria Wien,66,69,185,Nigeria,ST,85,62,52,67,29,71
5170,M. Britos,31,Peñarol,71,71,170,Uruguay,ST,87,68,66,73,49,70
5171,B. McKay,25,Fleetwood Town,69,71,173,Scotland,CAM,85,62,65,72,38,41
5172,Éverton Luiz,32,Real Salt Lake,69,69,173,Brazil,CDM,53,55,65,67,68,64
5173,A. Cadavid,34,Independiente Medellín,69,69,188,Colombia,CB,34,39,48,43,68,72
5174,E. Mena,31,Racing Club,76,76,173,Chile,LB,78,48,69,73,72,73
5175,Lucas Silva,26,Real Madrid,74,77,183,Brazil,CDM,59,62,68,71,71,74
5176,I. Lawlor,25,Oldham Athletic,62,67,193,Republic of Ireland,GK,65,59,60,64,45,61
5177,V. Alvarado,27,Atlético de San Luis,69,71,180,United States,CB,63,41,58,50,70,72
5178,D. Steres,29,LA Galaxy,67,67,183,United States,CB,48,27,51,49,66,71
5179,B. Başaçıkoğlu,25,Trabzonspor,68,71,178,Turkey,CAM,83,68,61,75,45,56
5180,S. Schrijvers,23,Club Brugge KV,73,78,180,Belgium,CAM,70,75,74,76,53,64
5181,P. Capelle,33,Angers SCO,75,75,180,France,LM,68,72,75,74,69,70
5182,S. Larsson,27,Sweden,73,73,178,Sweden,CAM,74,71,72,79,38,59
5183,Buatu,26,Sint-Truidense VV,67,70,188,Angola,CB,60,41,51,53,65,74
5184,J. Brenet  B,26,TSG 1899 Hoffenheim,74,76,180,Netherlands,LB,85,36,61,72,70,69
5185,E. Pačinda,30,Korona Kielce,70,70,175,Slovakia,RM,79,69,67,72,28,57
5186,J. Fernandes,30,Alanyaspor,75,75,183,Chile,ST,78,74,69,77,35,76
5187,Carlinhos,25,Vitória de Setúbal,71,75,178,Brazil,CAM,69,65,69,74,42,73
5188,T. Letschert,27,AZ Alkmaar,72,74,188,Netherlands,CB,58,57,63,60,70,76
5189,J. Jeanvier,27,Kasimpaşa SK,69,72,185,Guinea,CB,68,35,49,54,67,77
5190,C. Günter,27,SC Freiburg,78,78,185,Germany,LB,84,54,69,70,73,82
5191,B. Galloway,24,Luton Town,65,70,185,England,LB,73,37,55,62,63,63
5192,M. Duke,29,Al Taawoun,67,67,185,Australia,LM,79,67,59,65,52,77
5193,A. Caceres,27,Sydney FC,64,64,173,Australia,CM,68,58,64,65,58,66
5194,C. Goodwin,28,Australia,72,72,180,Australia,LM,82,67,68,71,58,70
5195,R. Guerreiro,26,Borussia Dortmund,84,85,170,Portugal,CAM,74,78,84,87,73,57
5196,B. Rabello,25,CD Universidad de Concepción,70,74,168,Chile,CAM,71,68,71,72,29,68
5197,M. Acton,28,Melbourne Victory,61,64,183,Australia,GK,63,61,59,63,40,58
5198,D. Gallagher,29,Motherwell,68,68,196,Scotland,CB,54,27,45,44,69,78
5199,Quini,30,Granada CF,72,72,178,Spain,LB,74,60,64,72,68,63
5200,J. Busk,26,1. FC Union Berlin,67,71,188,Denmark,GK,69,62,65,70,43,65
5201,A. Bajrovic,24,Sepsi OSK,61,66,178,Sweden,CAM,81,60,52,63,26,48
5202,Pacheco,28,Deportivo Alavés,82,84,185,Spain,GK,81,79,71,84,45,83
5203,T. Hölscher,24,FC Twente,64,69,185,Germany,CAM,72,60,62,64,42,58
5204,J. Nsame,27,BSC Young Boys,78,79,188,Cameroon,ST,79,78,55,72,27,79
5205,Y. Bounou,29,Sevilla FC,76,77,193,Morocco,GK,75,76,74,76,35,75
5206,M. Agu,27,Vitória Guimarães,73,76,185,Nigeria,CB,64,44,59,66,73,76
5207,T. Partey,27,Atlético Madrid,84,85,185,Ghana,CM,71,74,81,81,82,85
5208,R. Strebinger,27,SK Rapid Wien,73,76,193,Austria,GK,74,64,63,79,38,74
5209,K. Wimmer,27,Stoke City,71,73,188,Austria,CB,50,27,58,64,72,73
5210,M. Gajos,29,Lechia Gdańsk,65,65,175,Poland,CAM,73,65,65,66,61,70
5211,B. Saller,27,SSV Jahn Regensburg,70,70,178,Germany,RB,77,53,67,67,64,66
5212,C. Martschinko,26,FK Austria Wien,67,69,175,Austria,LB,77,54,57,67,63,72
5213,T. Dähne,26,Holstein Kiel,63,68,193,Germany,GK,67,56,65,67,58,59
5214,André Ramalho,28,FC Red Bull Salzburg,74,75,183,Brazil,CB,48,60,66,65,75,72
5215,A. Rabiot,25,Juventus,81,82,193,France,CM,72,74,78,79,77,79
5216,J. van Overeem,26,FC Utrecht,72,74,180,Netherlands,CM,68,57,72,77,65,60
5217,T. Ondaan,26,Grenoble Foot 38,68,68,173,Guyana,RM,90,61,58,72,38,66
5218,Diego Lopes,26,Rio Ave FC,73,75,170,Brazil,CAM,70,69,72,76,49,54
5219,L. Raeder,26,VfB Lübeck,63,68,193,Germany,GK,60,61,64,63,32,65
5220,P. Weihrauch,26,SG Dynamo Dresden,65,68,180,Germany,RM,77,58,62,74,54,62
5221,H. Mukhtar,25,Nashville SC,71,76,173,Germany,RM,79,63,69,75,44,59
5222,I. Zurita,28,Querétaro,64,64,168,Mexico,LB,71,54,62,67,58,61
5224,Grimaldo,24,SL Benfica,84,88,170,Spain,LWB,85,65,79,84,77,71
5225,J. Wurtz,28,SV Wehen Wiesbaden,66,66,183,Germany,ST,69,64,60,63,59,72
5226,C. Burgess,27,Portsmouth,66,68,196,England,CB,54,26,45,51,64,79
5227,K. Sadlier,25,Rotherham United,67,68,183,Republic of Ireland,LM,74,67,63,68,38,66
5228,F. Schär,28,Newcastle United,78,80,188,Switzerland,CB,61,69,71,69,79,76
5229,E. Lee,25,Luton Town,66,69,180,England,CAM,72,64,63,67,41,62
