,Name,Age,Club,OVA,POT,Height,Weight,Nationality,BP,PAC,SHO,PAS,DRI,DEF,PHY,Wage,Value
8928,Thiago Alminxa,28,Coritiba,71,71,183,157,Brazil,RW,82,67,62,73,25,64,16,2400
8935,Ailton Cardenhas,20,Santos,71,71,193,185,Brazil,GK,71,72,72,72,24,76,8,1800
8943,Wagner Orsinho,20,Fluminense,71,71,175,152,Brazil,LB,77,57,68,64,68,59,10,2300
8946,Luisinho Conradi,20,Atlético Mineiro,71,71,175,172,Brazil,LB,69,56,66,75,68,71,14,2300
9018,Jairinhazo,20,Atlético Clube Goianiense,71,71,170,137,Brazil,RM,76,54,73,77,41,47,7,2600
9019,Raphael Paneira,20,Grêmio,71,71,183,172,Brazil,CAM,56,62,68,75,36,60,13,2600
9021,Adrián Burnabão,24,Botafogo,71,71,175,161,Brazil,CAM,62,65,74,75,24,61,13,2600
9029,Gus Outomouro,24,Internacional,71,71,175,161,Brazil,CF,71,72,68,73,28,62,16,2700
9031,Paulao Junqueiras,20,Grêmio,71,71,193,212,Brazil,ST,38,77,51,62,27,71,15,2700
9063,Lyanco,23,Torino,71,79,188,183,Brazil,CB,55,36,52,58,72,69,20,3200
9099,Pedro Pereira B,22,Crotone,71,81,185,159,Portugal,RB,72,39,65,71,69,61,7,3400
9134,M. Santos,27,CD Leganés,71,72,175,150,Uruguay,ST,75,70,61,71,40,75,10,2800
9160,J. Aribo,23,Rangers FC,71,78,183,168,Nigeria,CAM,82,63,70,76,60,66,27,3300
9162,S. Marinovic,28,New Zealand,71,73,190,209,New Zealand,GK,73,66,60,77,51,65,3,2100
9232,J. Elías,24,Godoy Cruz,71,78,175,152,Argentina,CDM,66,53,69,70,69,71,6,3300
9237,João Carvalho,23,UD Almería,71,80,173,146,Portugal,CAM,70,66,72,76,33,43,6,3600
9251,C. De Norre,23,KRC Genk,71,77,175,165,Belgium,RWB,70,63,66,71,65,70,8,2900
9254,Aitor,24,Panathinaikos FC,71,75,178,148,Spain,LM,80,67,68,74,28,54,0.5,3100
9321,R. Pierre-Gabriel,22,Stade Brestois 29,71,78,178,176,France,RB,77,48,59,69,68,69,10,3000
9329,Curro Sánchez,24,SD Ponferradina,71,77,173,157,Spain,CAM,74,72,69,71,41,44,6,3200
9361,F. Aursnes,24,Molde FK,71,75,178,157,Norway,RWB,74,64,69,69,66,72,4,2800
9364,A. Murgia,23,SPAL,71,77,185,172,Italy,CM,45,64,68,69,69,60,18,3200
9438,R. Matarrita,25,New York City FC,71,74,175,154,Costa Rica,LB,79,49,65,70,67,68,5,2600
9485,M. Higashiguchi,34,Gamba Osaka,71,71,183,172,Japan,GK,68,70,75,69,33,73,6,1000
9502,S. Sasaki,30,Sanfrecce Hiroshima,71,71,175,154,Japan,CB,71,37,63,65,72,68,7,1900
9510,E. Cobbaut,22,RSC Anderlecht,71,78,188,183,Belgium,CB,67,41,65,67,69,78,11,3000
9522,M. Suzuki,26,Beerschot AC,71,73,185,163,Japan,ST,78,70,56,70,18,63,9,2900
9527,F. Formiliano,27,Peñarol,71,73,185,187,Uruguay,CB,64,27,50,55,69,78,0.5,2500
9544,S. Juklerød,26,Royal Antwerp FC,71,73,185,176,Norway,LM,80,63,64,70,62,74,13,2500
9556,M. Valenzuela,21,Columbus Crew SC,71,81,168,146,Argentina,LB,72,43,64,69,69,67,4,3500
9575,A. Esaka,28,Kashiwa Reysol,71,71,175,148,Japan,CAM,81,70,68,70,53,64,8,2400
9592,K. Hashimoto,25,FC Tokyo,71,72,183,168,Japan,CM,73,64,66,68,67,77,7,2800
9600,R. Nagaki,32,Kashima Antlers,71,71,173,159,Japan,RB,59,56,69,68,71,69,6,1500
9601,K. Misao,24,Kashima Antlers,71,75,180,161,Japan,CDM,73,44,66,71,68,73,5,2800
9605,T. Morishima,23,Sanfrecce Hiroshima,71,76,175,146,Japan,CAM,76,67,72,71,39,60,7,3200
9606,C. Monschein,27,FK Austria Wien,71,72,178,163,Austria,ST,87,70,52,71,22,68,14,2800
9645,Garrido,30,Cádiz CF,71,71,185,176,Spain,CDM,43,43,57,52,69,89,16,2000
9653,R. van Drongelen,21,Hamburger SV,71,81,185,179,Netherlands,CB,61,25,58,53,71,77,6,3500
9681,S. Muroya,26,Hannover 96,71,73,175,154,Japan,RWB,88,58,60,67,64,73,15,2500
9689,K. Józwiak,22,Derby County,71,82,175,154,Poland,RM,90,59,64,72,41,66,16,4000
9691,S. Taniguchi,28,Kawasaki Frontale,71,71,183,165,Japan,CB,64,45,58,59,72,71,8,2100
9693,K. Mac Allister,22,Argentinos Juniors,71,81,175,159,Argentina,LB,70,42,56,64,70,66,7,3400
9707,M. Barbieri,26,Club Tijuana,71,74,180,174,Argentina,CB,64,34,42,51,70,72,13,2600
9743,N. Sarenren Bazee,23,FC Augsburg,71,77,183,154,Nigeria,RM,82,61,64,75,29,52,15,3200
9749,R. McGree,21,Adelaide United,71,78,178,159,Australia,LM,80,70,68,75,62,74,3,3300
9760,F. Gaibor,28,Independiente,71,71,178,165,Ecuador,CM,65,67,73,71,59,67,13,2400
9817,F. Bjørkan,21,FK Bodø/Glimt,71,78,180,165,Norway,LB,80,48,58,64,67,71,3,3000
9829,A. D'Alberto,25,Moreirense FC,71,74,178,163,Belgium,RB,74,36,60,68,67,66,8,2600
9844,Léo Duarte,23,Milan,71,80,183,168,Brazil,CB,54,35,36,52,74,72,17,3300
9859,Eduardo Fonseira,20,Botafogo,71,71,190,192,Brazil,GK,71,70,74,69,35,72,7,1800
9865,Rômulo Calsede,20,Atlético Mineiro,71,71,180,172,Brazil,ST,72,72,60,67,32,69,17,2700
9878,C. Cáceda,28,Peru,71,71,185,172,Peru,GK,69,69,65,72,29,71,0.5,1700
9922,D. Warmerdam,24,FC Utrecht,71,75,180,146,Netherlands,LB,72,60,65,73,65,75,8,2700
10009,Diogo Leite,21,FC Porto,71,82,188,161,Portugal,CB,60,38,45,55,73,70,6,3800
10012,L. Reyes,29,Club América,71,71,180,146,Mexico,LB,74,49,65,69,66,64,22,2000
10019,B. Dibassy,30,Minnesota United FC,71,71,183,163,Mali,CB,71,54,61,67,71,76,5,1900
10023,B. Jatta,22,Hamburger SV,71,79,183,174,Gambia,RM,88,69,64,69,35,76,9,3500
10074,A. Bernede,21,FC Red Bull Salzburg,71,80,178,163,France,CM,65,58,67,73,66,68,13,3600
10084,Y. Wissa,23,FC Lorient,71,77,175,163,DR Congo,ST,88,71,61,72,24,67,16,3200
10101,M. Pajac,27,Cagliari,71,71,185,152,Croatia,LM,74,66,70,71,61,60,19,2500
10102,L. Höler,25,SC Freiburg,71,73,183,183,Germany,ST,70,72,50,59,40,76,16,2900
10105,F. Jensen,22,FC Augsburg,71,78,183,176,Finland,CAM,69,68,67,74,51,70,15,3300
10122,A. Sedlar,28,RCD Mallorca,71,73,178,174,Serbia,CB,55,40,49,47,71,78,6,2400
10133,Y. Shakhov,29,AEK Athens,71,71,188,179,Ukraine,CAM,69,68,67,70,65,70,0.5,2300
10140,A. Benedetti,27,Cittadella,71,71,170,141,Italy,LB,82,50,62,68,68,65,2,2100
10188,J. Maja,21,FC Girondins de Bordeaux,71,80,180,148,Nigeria,ST,75,70,62,70,28,58,16,3700
10202,Pedrinho,26,FC Paços de Ferreira,71,72,165,161,Portugal,RM,79,66,71,74,52,60,7,2800
10210,Ângelo Neto,28,Al Fayha,71,71,180,165,Brazil,CDM,64,64,68,72,62,75,13,2100
10234,Marlon,23,Trabzonspor,71,78,173,150,Brazil,LWB,79,59,61,71,64,72,15,3000
10235,G. Iancu,26,Romania,71,72,185,176,Romania,RW,72,72,68,70,34,65,8,2800
10295,S. Memiševic,26,Hebei China Fortune FC,71,73,185,181,Bosnia Herzegovina,CB,59,48,54,62,69,84,9,2500
10314,Álvaro Jiménez,25,Albacete BP,71,74,175,157,Spain,RM,78,68,67,70,46,64,6,3000
10346,A. Paleari,26,Cittadella,71,73,193,194,Italy,GK,71,70,67,73,32,73,2,2100
10362,G. Kvilitaia,26,KAA Gent,71,73,193,181,Georgia,ST,61,71,57,69,37,73,16,2900
10364,R. Benzar,28,FC Viitorul,71,71,180,161,Romania,RB,75,54,67,63,68,68,7,2000
10370,F. Depaoli,23,Sampdoria,71,80,183,157,Italy,RM,72,53,70,72,67,55,11,3600
10386,Pol Lirola,22,Fiorentina,71,76,183,165,Spain,RM,77,48,68,73,71,67,25,3200
10389,I. Cardona,22,Stade Brestois 29,71,79,185,170,France,ST,69,72,65,73,26,63,12,3500
10433,M. Gibbs-White,20,Swansea City,71,83,178,154,England,CAM,72,61,71,72,56,64,14,4200
10513,M. Olivera,28,FC Juárez,71,71,180,176,Uruguay,LB,69,56,63,72,69,66,9,2000
10565,G. Guruceaga,24,CD Palestino,71,76,193,181,Uruguay,GK,69,73,65,72,25,70,2,2400
10585,J. Tanganga,21,Tottenham Hotspur,71,83,183,161,England,CB,74,23,53,63,71,73,29,3900
10593,P. Hamel,26,FC Lorient,71,74,188,168,France,ST,61,73,57,67,28,62,20,3000
10685,Bruno Wilson,23,CD Tenerife,71,79,190,176,Portugal,CB,53,30,45,49,72,75,6,3200
10692,F. Diabaté,24,Trabzonspor,71,75,175,132,Mali,LM,76,66,61,76,23,43,17,3100
10698,E. Nketiah,21,Arsenal,71,83,175,159,England,ST,83,69,54,74,23,61,35,4300
10709,A. Gomaa,30,Ohod Club,71,71,178,163,Egypt,ST,66,73,56,65,26,65,15,2300
10724,F. Boya,24,Royal Antwerp FC,71,77,196,207,Cameroon,CB,65,54,63,65,68,87,11,3000
10784,G. Blanco Leschuk,28,Real Oviedo,71,71,193,196,Argentina,ST,68,72,47,62,35,78,9,2400
10797,J. Willock,20,Arsenal,71,85,185,168,England,CAM,75,64,66,73,57,67,31,5000
10814,Juanjo Nieto,25,Real Oviedo,71,76,175,157,Spain,RB,76,62,65,71,65,66,7,2800
10860,G. Togni,22,Independiente,71,80,173,168,Argentina,CAM,77,67,64,73,43,66,12,3600
10867,A. Bodart,22,Standard de Liège,71,78,185,176,Belgium,GK,73,72,65,74,21,68,6,2500
10875,L. Vido,22,Pisa,71,79,183,165,Italy,ST,66,69,62,71,34,63,2,3500
10998,K. Kuchaev,22,PFC CSKA Moscow,71,78,183,163,Russia,RM,78,58,67,70,55,60,22,3300
11062,A. Sigurðsson,21,PFC CSKA Moscow,71,81,178,165,Iceland,CF,76,68,67,73,41,62,21,3900
11133,Fernando Fonseca,23,FC Paços de Ferreira,71,79,183,165,Portugal,RB,70,41,61,68,68,71,5,3100
11196,Alex Pinto,21,Farense,71,79,188,170,Portugal,RB,74,46,55,65,67,77,4,3200
11225,Jadson,28,Portimonense SC,71,72,188,185,Brazil,CB,61,30,40,40,72,75,6,2300
11235,M. Kaye,25,Los Angeles FC,71,76,185,170,Canada,CM,73,55,68,71,68,72,6,3100
11250,O. Kiomourtzoglou,22,Heracles Almelo,71,77,188,165,Germany,CB,64,47,56,61,70,78,5,3000
11349,C. Zimmermann,27,Norwich City,71,73,193,203,Germany,CB,51,33,39,44,73,80,7,2500
11381,A. Grbic,23,FC Lorient,71,77,188,181,Austria,ST,72,75,53,68,24,69,18,3300
11391,B. Kraev,23,FC Midtjylland,71,79,185,163,Bulgaria,CAM,68,63,66,74,43,69,15,3500
11396,J. Álvarez,24,Club Atlético Banfield,71,77,175,159,Argentina,RM,77,61,65,73,38,62,9,3200
11425,Bremer,23,Torino,71,80,188,176,Brazil,CB,59,35,48,58,71,68,20,3300
11429,K. Rezaei,28,Sporting de Charleroi,71,71,185,174,Iran,ST,67,72,67,66,28,68,11,2400
11478,M. Cuisance,20,FC Bayern München,71,82,180,163,France,CAM,71,67,77,75,53,54,27,4000
11487,B. Acosta,26,FC Dallas,71,72,173,161,Honduras,CM,83,70,67,68,65,81,6,2700
11489,C. Ekuban,26,Trabzonspor,71,73,183,176,Ghana,ST,81,68,63,71,26,79,21,2900
11507,P. Tsintotas,26,AEK Athens,71,74,193,198,Greece,GK,73,70,70,75,30,63,0.5,2100
11627,E. Rexhbeçaj,22,1. FC Köln,71,79,183,161,Kosovo,CM,66,58,70,72,64,66,15,3400
11645,C. Traoré B,25,Racing Club de Lens,71,75,175,172,Mali,RB,74,46,62,71,67,68,21,2700
11724,M. Fouzair,28,Al Raed,71,71,168,152,Morocco,RM,82,61,66,75,28,60,14,2400
11771,J. Sandoval,33,Argentinos Juniors,71,71,180,159,Uruguay,RB,71,53,60,64,69,75,8,1100
11786,K. Zohi,23,RC Strasbourg Alsace,71,80,178,165,Mali,RM,80,67,63,76,25,57,16,3600
11811,H. Traorè,20,Sassuolo,71,85,178,150,Ivory Coast,CAM,70,66,69,75,56,59,14,5000
11854,D. Ljubicic,22,SK Rapid Wien,71,77,185,163,Austria,CDM,68,61,65,68,69,72,15,3000
11871,M. Melluso,22,Gimnasia y Esgrima La Plata,71,82,170,139,Argentina,LB,74,44,61,69,67,62,9,3700
11873,J. García,27,Unión de Santa Fe,71,72,180,181,Argentina,ST,76,71,47,65,35,77,10,2800
11882,D. Vavro,24,Lazio,71,78,188,179,Slovakia,CB,65,49,51,56,70,77,24,3000
11886,F. Carballo,23,Nacional de Montevideo,71,79,178,159,Uruguay,CM,65,60,70,68,64,76,0.5,3400
11905,Gorosabel,23,Real Sociedad,71,77,175,154,Spain,RB,65,41,57,64,71,63,13,2900
11935,I. Ganago,21,Racing Club de Lens,71,77,175,181,Cameroon,ST,76,72,58,71,34,67,20,3300
11966,T. Mkhize,31,South Africa,71,71,178,159,South Africa,RB,75,49,59,68,67,65,0,0
12004,J. Intriago,24,FC Juárez,71,78,175,152,Ecuador,CDM,72,46,68,72,65,76,7,3000
12046,A. Bareiro,31,Club Libertad,71,71,168,150,Paraguay,RM,82,56,66,70,33,56,0.5,2100
12078,T. Belmonte,22,Club Atlético Lanús,71,82,178,150,Argentina,CB,68,61,63,69,68,76,9,3800
12084,A. Tchouaméni,20,AS Monaco,71,78,188,179,France,CDM,67,53,65,71,71,73,21,3300
12105,H. De la Fuente,23,Vélez Sarsfield,71,79,178,161,Argentina,RWB,84,56,60,71,65,76,9,3100
12112,André Pereira,25,Rio Ave FC,71,76,188,181,Portugal,ST,64,71,60,66,33,67,8,3200
12133,A. Cruz,22,Club Tijuana,71,80,173,137,Mexico,LB,77,35,65,66,68,52,11,3300
12192,Nanu,26,Clube Sport Marítimo,71,74,178,152,Guinea Bissau,RB,86,57,62,72,63,69,7,2600
12213,M. Ashimeru,22,FC Red Bull Salzburg,71,78,183,159,Ghana,CAM,71,64,68,74,59,68,15,3300
12219,J. Sierra,23,Tigres U.A.N.L.,71,78,170,137,Ecuador,CM,74,65,68,70,64,68,23,3300
12247,H. Evjen,20,AZ Alkmaar,71,82,173,143,Norway,LM,82,64,65,75,54,63,5,4100
12387,N. Okafor,20,FC Red Bull Salzburg,71,82,185,187,Switzerland,ST,81,68,65,74,32,73,13,4100
12400,B. Badiashile,19,AS Monaco,71,78,193,165,France,CB,54,33,55,56,71,74,13,2900
12413,I. Nedelcearu,24,Romania,71,79,190,174,Romania,CB,61,46,53,55,71,77,0,0
12421,R. Aït Nouri,19,Angers SCO,71,86,178,154,France,LB,68,42,62,70,69,49,7,4700
12473,K. Anzai,25,Portimonense SC,71,76,173,141,Japan,RWB,89,57,64,69,63,58,5,2800
12531,N. Bancu,27,Romania,71,71,180,159,Romania,LB,75,66,67,71,65,70,7,2100
12534,M. Trávník,26,Sparta Praha,71,74,175,152,Czech Republic,CAM,69,68,72,72,61,63,0.5,2900
12539,T. Balu<U+021B>a,21,Brighton & Hove Albion,71,82,188,176,Romania,CDM,60,49,57,49,69,74,21,3800
12691,M. Müldür,21,Sassuolo,71,82,188,163,Turkey,RB,77,49,59,71,67,70,13,3700
12697,K. Letica,23,SPAL,71,78,201,212,Croatia,GK,77,63,64,73,32,72,0.5,2500
12701,A. Gholizadeh,24,Sporting de Charleroi,71,75,175,152,Iran,LM,73,60,66,74,41,67,9,3100
12754,Kalindi,26,CD Nacional,71,72,170,139,Brazil,RB,87,51,59,71,62,58,7,2400
12789,Fran Gámez,28,RCD Mallorca,71,71,175,157,Spain,RB,77,47,59,67,67,67,6,2000
12822,M. Simakan,20,RC Strasbourg Alsace,71,82,188,181,France,CB,62,34,53,58,73,72,12,3800
12858,J. Vukovic,28,Clube Sport Marítimo,71,72,185,179,Croatia,CDM,55,49,64,68,66,74,7,2400
12942,Corpas,28,UD Almería,71,71,178,159,Spain,RM,84,60,67,72,36,57,7,2400
12972,L. Majer,22,Dinamo Zagreb,71,79,178,165,Croatia,LM,69,66,76,80,38,57,0.5,3500
12995,G. Fuentes,23,Junior FC,71,80,180,163,Colombia,LB,82,44,60,68,65,73,2,3300
13026,Fernando,21,Shakhtar Donetsk,71,83,175,152,Brazil,CAM,86,61,60,77,30,43,0.5,4200
13110,M. Chirinos,24,Vancouver Whitecaps FC,71,74,165,152,Honduras,RW,92,64,63,75,43,64,5,3000
13151,Felipe Silva,27,GwangJu FC,71,72,193,198,Brazil,ST,71,70,55,64,23,84,5,2800
13157,N. Rusyn,21,Dynamo Kyiv,71,79,178,150,Ukraine,ST,78,71,47,66,20,53,0.5,3600
13186,S. Ferreira,22,Club Libertad,71,78,180,172,Paraguay,ST,71,71,57,72,29,59,0.5,3400
13196,Y. Benrahou,21,Nîmes Olympique,71,80,170,150,Morocco,CAM,70,64,70,76,41,51,11,3700
13258,O. Kiteishvili,24,SK Sturm Graz,71,75,173,143,Georgia,CAM,71,67,68,74,67,58,12,3000
13283,J. Hurtado,19,Boca Juniors,71,83,183,157,Venezuela,ST,80,68,60,70,26,74,9,4200
13306,B. Arce,21,LDU Quito,71,83,178,146,Ecuador,RM,72,58,67,68,34,58,0.5,4200
13413,K. Furuhashi,25,Vissel Kobe,71,73,170,139,Japan,RM,76,71,67,69,40,62,7,2900
13426,N. Rasskazov,22,Spartak Moscow,71,79,180,161,Russia,RB,75,47,64,71,68,57,24,3100
13518,B. Gilmour,19,Chelsea,71,86,170,146,Scotland,CM,68,54,70,73,64,50,25,5000
13534,P. De la Vega,19,Club Atlético Lanús,71,85,178,157,Argentina,RM,86,67,61,76,32,62,8,5000
13555,Vítor Tormena B,24,SC Braga,71,75,193,185,Brazil,CB,52,36,57,59,73,74,7,2800
13558,R. Gravenberch,18,Ajax,71,87,190,174,Netherlands,CAM,73,65,71,76,55,63,4,4800
13595,J. Álvarez,20,River Plate,71,84,170,157,Argentina,CAM,80,71,69,72,44,58,9,4600
13665,J. Doku,18,RSC Anderlecht,71,88,170,132,Belgium,RW,93,59,58,79,26,62,6,4900
13758,S. Koita,20,FC Red Bull Salzburg,71,82,173,154,Mali,ST,87,72,57,75,28,66,14,4100
13871,K. Eissa,30,Al Ain FC,71,71,178,141,United Arab Emirates,GK,70,65,59,77,48,72,0.5,1600
13899,D. Hotic,24,KSV Cercle Brugge,71,74,168,152,Bosnia Herzegovina,LM,81,61,73,71,40,73,8,3000
13916,A. Palaversa,20,Getafe CF,71,83,188,174,Croatia,CDM,63,59,70,70,70,71,12,4200
13938,K. Thuram,19,OGC Nice,71,82,193,179,France,CDM,69,52,67,68,70,69,10,3700
14063,B. Al Ahbabi,29,Al Ain FC,71,71,170,137,United Arab Emirates,RM,86,54,69,71,57,52,0.5,2300
14279,W. Fofana,19,AS Saint-Étienne,71,83,190,168,France,CB,68,35,52,60,72,69,9,3800
14465,M. Fernández,31,FC Juárez,71,71,170,148,Argentina,RM,82,68,64,73,32,58,9,2100
14486,D. Lischka,22,Sparta Praha,71,80,188,194,Czech Republic,CB,64,42,60,63,70,74,0.5,3300
14559,P. Cucchi,26,Independiente Santa Fe,71,72,178,172,Argentina,ST,79,69,61,70,37,70,2,2800
14631,Mateus Pasinato,28,Moreirense FC,71,71,193,190,Brazil,GK,71,72,71,67,21,71,7,1700
14674,David Carmo,20,SC Braga,71,83,196,196,Portugal,CB,33,28,42,41,72,76,6,3900
14760,R. Nteka,22,CF Fuenlabrada,71,82,188,165,France,ST,76,67,63,71,63,78,5,4100
14882,L. Krejcí,21,Sparta Praha,71,78,190,190,Czech Republic,CB,64,56,61,64,70,79,0.5,3100
14896,Son,26,Levante UD,71,74,178,159,Spain,RB,74,46,61,67,67,68,14,2600
14919,Patrick William,23,Famalicão,71,79,185,181,Brazil,CB,58,63,63,55,71,75,6,3200
15192,L. Ivanušec,21,Dinamo Zagreb,71,80,175,168,Croatia,RM,79,69,70,76,56,67,0.5,3700
15201,T. Kouassi,18,FC Bayern München,71,85,188,183,France,CB,69,37,55,62,71,74,10,4600
15302,I. Franco,20,Club Libertad,71,80,165,139,Paraguay,CF,80,67,56,71,27,60,0.5,3700
15323,T. Cardozo,23,Peñarol,71,79,183,183,Uruguay,GK,65,70,68,72,38,73,0.5,2700
15325,J. Trindade,26,Peñarol,71,72,175,174,Uruguay,LB,74,42,59,65,68,72,0.5,2400
15332,F. Pellistri,18,Peñarol,71,87,175,143,Uruguay,RM,84,62,64,73,27,61,0.5,4900
15340,A. Méndez,24,Nacional de Montevideo,71,77,175,181,Uruguay,CB,78,40,57,61,66,91,0.5,2900
15351,E. Mera,35,Independiente del Valle,71,71,165,148,Ecuador,CAM,66,70,65,76,50,64,0.5,1000
15454,L. Takács,23,SK Slavia Praha,71,76,190,185,Czech Republic,CB,60,56,59,62,71,77,0.5,2900
15539,L. Ayala,26,LDU Quito,71,72,170,168,Ecuador,LB,72,55,64,70,67,70,0.5,2400
15545,A. Julio,24,Atlético de San Luis,71,75,173,154,Ecuador,RM,82,64,63,72,27,59,9,3100
15574,A. Romero,29,Deportivo Binacional,71,71,183,161,Peru,CM,67,68,70,73,61,75,0.5,2000
15674,Reinier,18,Borussia Dortmund,71,87,185,159,Brazil,CAM,82,68,64,75,43,65,13,4900
15773,Pedro Mendes,20,UD Almería,71,83,188,185,Portugal,ST,71,72,57,67,34,74,5,4300
15959,P. Hellebrand,21,SK Slavia Praha,71,81,180,157,Czech Republic,RM,74,64,72,75,40,64,0.5,3800
16123,B. Šutalo,20,Atalanta,71,82,188,159,Croatia,CB,64,31,51,54,74,66,19,3800
16585,O. Karafiát,25,SK Slavia Praha,71,77,183,163,Czech Republic,CDM,74,52,68,68,71,73,0.5,2900
82,G. Barry,38,West Bromwich Albion,70,70,183,172,England,CDM,31,63,72,66,72,63,15,375
173,A. Cole,37,Derby County,70,70,175,146,England,CDM,63,50,69,71,68,68,15,80
218,K. Boyd,34,Kilmarnock,70,70,185,183,Scotland,ST,40,72,57,61,31,71,6,925
220,O. Deschacht,39,SV Zulte-Waregem,70,70,183,179,Belgium,CB,35,45,60,52,75,69,5,240
225,Igor de Camargo,37,KV Mechelen,70,70,188,187,Belgium,ST,39,71,64,66,50,77,7,625
231,D. Bent,33,Burton Albion,70,70,180,161,England,ST,66,71,52,64,26,58,10,1100
238,B. Myhill,35,West Bromwich Albion,70,70,190,203,Wales,GK,72,70,69,68,44,69,9,425
239,T. Cahill,37,Millwall,70,70,178,141,Australia,ST,60,73,60,67,48,75,20,475
274,L. Grant,37,Manchester United,70,70,193,183,England,GK,70,70,72,69,41,67,23,180
280,S. Downing,34,Blackburn Rovers,70,70,180,141,England,RM,61,68,74,71,55,55,13,900
285,K. Commons,32,Celtic,70,70,168,141,Scotland,CAM,51,72,71,72,31,63,30,1100
290,R. Green,38,Chelsea,70,70,188,203,England,GK,70,70,57,71,34,70,20,120
291,S. Padoin,35,Ascoli,70,70,178,161,Italy,CAM,62,63,73,74,71,62,2,500
313,G. McAuley,39,Northern Ireland,70,70,190,196,Northern Ireland,CB,29,42,49,40,72,63,0,0
341,Nino,40,Elche CF,70,70,170,150,Spain,ST,57,74,63,70,46,55,9,0
350,R. Fanni,38,Montreal Impact,70,70,185,179,France,CB,52,52,65,66,70,69,3,350
362,A. Meier,36,Western Sydney Wanderers,70,70,196,212,Germany,ST,33,75,65,60,45,67,5,625
366,M. Rensing,35,Fortuna Düsseldorf,70,70,190,201,Germany,GK,69,70,64,69,41,71,8,475
384,E. Hallfreðsson,36,Iceland,70,70,185,190,Iceland,CDM,54,62,73,72,70,67,0,0
398,Artur Moraes,36,CD Aves,70,70,193,209,Brazil,GK,71,68,64,69,44,74,3,70
452,J. Lescott,33,Sunderland,70,70,188,196,England,CB,39,51,56,53,69,72,20,600
470,B. Cesar,37,Chievo Verona,70,70,190,196,Slovenia,CB,32,27,40,52,70,70,0.5,350
518,A. Tziolis,33,Al Fayha,70,70,190,198,Greece,CDM,33,63,66,57,67,80,10,725
523,D. Ludueña,33,Club Atlético Talleres,70,70,175,183,Argentina,CAM,41,70,74,69,21,63,10,875
535,R. Martínez,37,Club Atlético Tigre,70,70,183,179,Argentina,CAM,51,69,72,69,57,64,7,575
544,O. Adin,32,Antalyaspor,70,70,175,165,Turkey,LW,69,69,72,70,64,63,10,1400
551,M. Demir,28,Gazisehir Gaziantep F.K.,70,70,180,152,Turkey,CF,72,72,68,73,37,64,10,1800
559,Mora,37,Getafe CF,70,70,183,161,Spain,CM,41,63,77,60,60,68,10,120
593,A. Rebrov,36,Spartak Moscow,70,70,193,198,Russia,GK,69,66,64,69,34,74,13,300
677,C. Ikeme,31,Wolverhampton Wanderers,70,70,190,220,Nigeria,GK,72,70,69,68,46,69,20,1100
684,A. McGeady,34,Sunderland,70,70,178,157,Republic of Ireland,CAM,70,69,70,75,44,58,9,900
693,R. McCormack,31,Motherwell,70,70,175,163,Scotland,ST,65,72,70,70,31,68,6,1600
704,D. Álvarez,38,Tigres U.A.N.L.,70,70,168,141,Mexico,RW,70,63,67,80,41,57,30,475
739,A. Song,31,FC Sion,70,70,185,163,Cameroon,CDM,64,55,66,67,69,67,16,1300
749,S. Carson,34,Manchester City,70,70,190,190,England,GK,69,70,69,68,35,71,37,775
759,Juanma,37,CF Fuenlabrada,70,70,185,176,Spain,CB,63,50,58,45,70,78,3,350
787,S. Taylor,34,Wellington Phoenix,70,70,188,201,England,CB,36,34,59,45,70,77,3,650
795,Jurado,34,Cádiz CF,70,70,173,159,Spain,CAM,59,70,73,71,30,53,16,900
812,B. Watson,34,Charlton Athletic,70,70,180,176,England,CDM,41,65,69,64,68,67,5,675
817,J. Ménez,32,Paris FC,70,70,183,170,France,CAM,67,67,68,73,32,47,6,1400
819,M. Matip,32,FC Ingolstadt 04,70,70,185,187,Cameroon,CB,68,46,53,53,70,74,15,1000
858,P. Gallagher,35,Preston North End,70,70,183,168,Scotland,CM,53,68,75,67,61,61,12,750
887,J. Ruddy,33,Wolverhampton Wanderers,70,70,193,214,England,GK,70,66,72,71,41,70,27,950
897,C. Davies,35,Derby County,70,70,188,168,England,CB,49,38,45,52,72,66,10,550
903,A. Le Fondre,33,Sydney FC,70,70,180,161,England,ST,65,73,62,69,30,68,6,1100
921,Pita,35,CD Lugo,70,70,185,185,Spain,CDM,31,70,72,64,68,67,4,575
930,T. Hoogland,34,Melbourne Victory,70,70,183,176,Germany,CB,46,61,60,62,69,70,5,650
933,S. Fletcher,33,Stoke City,70,70,185,168,Scotland,ST,51,72,58,67,33,70,17,1100
937,A. Federici,35,Macarthur FC,70,70,188,198,Australia,GK,70,67,76,67,42,70,1,475
945,S. Cissé,31,GFC Ajaccio,70,70,183,172,Ivory Coast,ST,74,68,66,68,37,66,7,1200
950,C. Jerome,32,Göztepe SK,70,70,185,187,England,ST,70,70,51,64,44,79,15,1400
960,N. Navarro,35,Club Atlético Tigre,70,70,190,192,Argentina,GK,71,70,68,70,44,67,4,475
973,L. Ulloa,33,Rayo Vallecano,70,70,185,194,Argentina,ST,36,69,62,68,50,79,5,1100
1008,O. Ustari,33,Pachuca,70,70,183,181,Argentina,GK,66,70,69,72,35,70,7,950
1020,R. Elm,31,Kalmar FF,70,70,183,165,Sweden,CM,47,64,73,65,60,58,3,1500
