"","Fussballer.Name","Fussballer.Age","Fussballer.Club","Fussballer.Overall","Fussballer.Potential","Height"
"1680","R. Berić",27,"AS Saint-Étienne",75,76,187.96
"1681","V. Hernández",29,"Atlético Nacional",75,75,160.02
"1682","Claudemir",30,"SC Braga",75,75,185.42
"1683","T. Jantschke",28,"Borussia Mönchengladbach",75,75,177.8
"1684","L. Schaub",23,"1. FC Köln",75,80,177.8
"1685","P. Tschauner",32,"Hannover 96",75,75,195.58
"1686","Gabrisco Aníbal",26,"Paraná",75,75,182.88
"1687","B. Feilhaber",33,"Los Angeles FC",75,75,175.26
"1688","A. Grassi",23,"Parma",75,83,182.88
"1689","N. Vikonis",34,"Puebla FC",75,75,182.88
"1690","P. Ntep",25,"VfL Wolfsburg",75,76,180.34
"1691","L. Vangioni",31,"Monterrey",75,75,177.8
"1692","S. Okazaki",32,"Leicester City",75,75,172.72
"1693","Diego Castro",35,"Perth Glory",75,75,175.26
"1694","C. Jallet",34,"OGC Nice",75,75,177.8
"1695","O. Pineda",22,"Guadalajara",75,83,170.18
"1696","A. Mounier",30,"Panathinaikos FC",75,75,175.26
"1697","Sandro",29,"Genoa",75,75,187.96
"1698","N. Redmond",24,"Southampton",75,79,172.72
"1699","Gálvez",29,"Rayo Vallecano",75,76,187.96
"1700","A. Song",30,"FC Sion",75,75,185.42
"1701","E. Badu",27,"Udinese",75,75,172.72
"1702","M. Agu",25,"Vitória de Setúbal",75,80,182.88
"1703","Jason",23,"Levante UD",75,81,177.8
"1704","S. Cristóforo",24,"Getafe CF",75,79,175.26
"1705","L. Butelle",35,"Angers SCO",75,75,187.96
"1706","Allan Bardinho",26,"Botafogo",75,75,175.26
"1707","P. Dummett",26,"Newcastle United",75,76,182.88
"1708","H. Villalba",23,"Atlanta United",75,79,172.72
"1709","K. Amian",20,"Toulouse Football Club",75,83,180.34
"1710","José Mirazar",34,"Grêmio",75,75,180.34
"1711","A. Hernández",27,"PFC CSKA Moscow",75,75,185.42
"1712","Ailton Guevara",26,"América FC (Minas Gerais)",75,75,177.8
"1713","O. Akhmedov",30,"Shanghai SIPG FC",75,75,180.34
"1714","Naldo",29,"RCD Espanyol",75,75,187.96
"1715","Y. Ayoub",24,"Feyenoord",75,79,175.26
"1716","A. Ring",27,"New York City FC",75,78,177.8
"1717","B. Ndiaye",27,"Galatasaray SK",75,75,180.34
"1718","Kaku",23,"New York Red Bulls",75,83,170.18
"1719","Adilson Edrada",26,"Santos",75,75,175.26
"1720","A. Ibargüen",26,"Club América",75,76,167.64
"1721","Iraizoz",37,"Girona FC",75,75,190.5
"1722","N. Nikolić",30,"Chicago Fire",75,75,180.34
"1723","J. Kurtić",29,"SPAL",75,75,185.42
"1724","K. Wimmer",25,"Hannover 96",75,80,187.96
"1725","A. Mejía",29,"Club León",75,75,177.8
"1726","A. Barreca",23,"AS Monaco",75,80,180.34
"1727","Gil Dias",21,"Nottingham Forest",75,82,182.88
"1728","J. Locadia",24,"Brighton & Hove Albion",75,79,185.42
"1729","S. Kryvtsov",27,"Shakhtar Donetsk",75,78,185.42
"1730","O. Peralta",34,"Club América",75,75,177.8
"1731","C. Budescu",29,"Al Shabab",75,75,182.88
"1732","A. Raggi",34,"AS Monaco",75,75,187.96
"1733","R. Donk",32,"Galatasaray SK",75,75,193.04
"1734","Edgar Méndez",27,"Cruz Azul",75,75,187.96
"1735","L. De Silvestri",30,"Torino",75,75,185.42
"1736","M. Saracchi",20,"RB Leipzig",75,85,172.72
"1737","D. Congré",33,"Montpellier HSC",75,75,185.42
"1738","M. Fritzler",31,"Club Atlético Colón",75,75,177.8
"1739","T. Kolodziejczak",26,"AS Saint-Étienne",75,76,185.42
"1740","Caio Nunson",30,"Vitória",75,75,185.42
"1741","Felipe Vizeu",21,"Udinese",75,87,182.88
"1742","J. Damm",25,"Tigres U.A.N.L.",75,76,185.42
"1743","Guilherme",27,"Olympiacos CFP",75,77,177.8
"1744","G. Nkoudou",23,"Tottenham Hotspur",75,80,175.26
"1745","Joel Robles",28,"Real Betis",75,76,195.58
"1746","B. Zungu",25,"Amiens SC",75,78,182.88
"1747","Otávio Cairinho",26,"Internacional",75,75,177.8
"1748","P. Gouano",24,"Amiens SC",75,81,185.42
"1749","C. Domínguez",23,"Club América",75,79,177.8
"1750","R. Falk",26,"FC København",75,76,177.8
"1751","André Ramalho",26,"FC Red Bull Salzburg",75,77,182.88
"1752","G. Schennikov",27,"PFC CSKA Moscow",75,76,180.34
"1753","M. Morozyuk",30,"Dynamo Kyiv",75,75,175.26
"1754","J. van der Heijden",30,"Feyenoord",75,75,185.42
"1755","A. Musa",25,"Al Nassr",75,77,170.18
"1756","A. Diaby",27,"Sporting CP",75,75,172.72
"1757","G. İnler",34,"Medipol Başakşehir FK",75,75,182.88
"1758","L. Cigarini",32,"Cagliari",75,75,175.26
"1759","Júnior Urso",29,"Guangzhou R&F; FC",75,75,177.8
"1760","B. Butko",27,"Shakhtar Donetsk",75,76,182.88
"1761","R. Thomas",23,"PSV",75,80,175.26
"1762","M. Jensen",22,"RC Celta",75,81,172.72
"1763","Burgui",24,"Deportivo Alavés",75,78,182.88
"1764","A. Meret",21,"Napoli",75,89,190.5
"1765","M. Gonalons",29,"Sevilla FC",75,75,187.96
"1766","D. Valdés",24,"Monarcas Morelia",75,79,177.8
"1767","Marafona",31,"SC Braga",75,75,190.5
"1768","R. Karsdorp",23,"Roma",75,80,182.88
"1769","I. Opara",29,"Sporting Kansas City",75,76,187.96
"1770","K. Laimer",21,"RB Leipzig",75,82,180.34
"1771","O. Kamara",28,"LA Galaxy",75,75,182.88
"1772","S. Gentiletti",33,"Albacete BP",75,75,185.42
"1773","Serey Dié",33,"FC Basel 1893",75,75,177.8
"1774","A. Westwood",28,"Burnley",75,75,175.26
"1775","C. Ciano",28,"Frosinone",75,75,175.26
"1776","A. Conti",24,"Milan",75,79,182.88
"1777","Bojan",27,"Stoke City",75,75,170.18
"1778","C. Vargas",29,"Deportivo Cali",75,76,185.42
"1779","Éder",30,"Lokomotiv Moscow",75,75,190.5
"1780","Y. Benzia",23,"Fenerbahçe SK",75,81,177.8
"1781","W. Hennessey",31,"Crystal Palace",75,75,198.12
"1782","E. Thommy",23,"VfB Stuttgart",75,79,175.26
"1783","Bustinza",26,"CD Leganés",75,78,175.26
"1784","Bernardo",23,"Brighton & Hove Albion",75,80,185.42
"1785","P. Cissé",33,"Alanyaspor",75,75,182.88
"1786","Oier",28,"Levante UD",75,75,190.5
"1787","D. Gayle",27,"West Bromwich Albion",75,75,175.26
"1788","Joelinton",21,"TSG 1899 Hoffenheim",75,80,185.42
"1789","A. Pérez",37,"Deportivo Cali",75,75,180.34
"1790","B. Jones",36,"Al Nassr",75,75,193.04
"1791","J. Drmić",25,"Borussia Mönchengladbach",75,78,182.88
"1792","M. Mount",19,"Derby County",75,86,177.8
"1793","A. McGregor",36,"Rangers FC",75,75,182.88
"1794","O. Elabdellaoui",26,"Olympiacos CFP",75,76,177.8
"1795","R. Steffen",26,"VfL Wolfsburg",75,75,170.18
"1796","K. Kanga",27,"Sparta Praha",75,75,167.64
"1797","J. Ananidze",25,"Spartak Moscow",75,78,170.18
"1798","S. Ilsanker",29,"RB Leipzig",75,75,187.96
"1799","A. Blake",27,"Philadelphia Union",75,78,193.04
"1800","Nicholas Aldair",26,"Fluminense",75,75,187.96
"1801","R. Sessegnon",18,"Fulham",75,88,177.8
"1802","Jorginhson",26,"Vitória",75,75,177.8
"1803","Carlitos",28,"Legia Warszawa",75,75,175.26
"1804","L. Nguyen",31,"Los Angeles FC",75,75,172.72
"1805","A. Paschalakis",28,"PAOK",75,76,198.12
"1806","Fabrício",28,"Urawa Red Diamonds",75,75,182.88
"1807","M. Coco",22,"En Avant de Guingamp",75,81,182.88
"1808","K. Babacar",25,"Sassuolo",75,77,190.5
"1809","Postigo",29,"Levante UD",75,75,185.42
"1810","Renato Sanches",20,"FC Bayern München",75,84,175.26
"1811","M. Caruzzo",33,"Rosario Central",75,75,185.42
"1812","G. Konan",22,"Stade de Reims",75,81,175.26
"1813","S. Mounié",23,"Huddersfield Town",75,82,190.5
"1814","P. Capelle",31,"Angers SCO",75,75,180.34
"1815","T. Davies",20,"Everton",75,84,185.42
"1816","N. Dirar",32,"Fenerbahçe SK",75,75,187.96
"1817","J. Toornstra",29,"Feyenoord",75,75,177.8
"1818","Paulinho",23,"Portimonense SC",75,82,165.1
"1819","S. Larsson",25,"Feyenoord",75,77,177.8
"1820","P. Tau",24,"",75,81,167.64
"1821","J. Kluivert",19,"Roma",75,86,170.18
"1822","H. Ayala",31,"Tigres U.A.N.L.",75,75,182.88
"1823","Miguel Silva",23,"Vitória Guimarães",75,80,190.5
"1824","D. Rolán",25,"CD Leganés",75,78,177.8
"1825","L. Klostermann",22,"RB Leipzig",75,82,187.96
"1826","G. Rodríguez",23,"Club América",75,79,185.42
"1827","M. Locatelli",20,"Sassuolo",75,83,185.42
"1828","F. Caputo",30,"Empoli",75,75,180.34
"1829","A. Roa",25,"Club Atlético Huracán",75,78,175.26
"1830","Keko",26,"Real Valladolid CF",75,76,172.72
"1831","A. El Khayati",29,"ADO Den Haag",75,75,185.42
"1832","F. Schär",26,"Newcastle United",75,80,187.96
"1833","A. Haidara",20,"FC Red Bull Salzburg",75,84,175.26
"1834","Chema Rodríguez",26,"Levante UD",75,78,187.96
"1835","G. dos Santos",29,"LA Galaxy",75,75,175.26
"1836","T. Bifouma",26,"MKE Ankaragücü",75,76,180.34
"1837","Dani Rochelinhas",26,"Chapecoense",75,75,177.8
"1838","M. Ostrzolek",28,"Hannover 96",75,75,177.8
"1839","Sandro",22,"Real Sociedad",75,81,175.26
"1840","L. Deaux",29,"En Avant de Guingamp",75,75,187.96
"1841","J. Vuković",30,"Olympiacos CFP",75,75,195.58
"1842","J. Hansen",33,"FC Midtjylland",75,75,187.96
"1843","Gonçalo Paciência",23,"Eintracht Frankfurt",75,82,182.88
"1844","Córdoba",21,"Athletic Club de Bilbao",75,83,180.34
"1845","P. Pekarík",31,"Hertha BSC",75,75,175.26
"1846","Ximo Navarro",28,"Deportivo Alavés",75,75,177.8
"1847","Pablo Hernández",33,"Leeds United",75,75,172.72
"1848","G. Kashia",30,"San Jose Earthquakes",75,75,185.42
"1849","Cássio",37,"Al Taawoun",75,75,185.42
"1850","S. Bamba",33,"Cardiff City",75,75,190.5
"1851","S. Kums",30,"RSC Anderlecht",75,75,175.26
"1852","Fábio Martins",24,"SC Braga",75,78,177.8
"1853","M. Suárez",30,"Belgrano de Córdoba",75,75,182.88
"1854","S. Mitrović",28,"RC Strasbourg Alsace",75,76,187.96
"1855","D. Aogo",31,"VfB Stuttgart",75,75,185.42
"1856","B. Engels",23,"Stade de Reims",75,82,193.04
"1857","F. Tait",25,"Angers SCO",75,78,175.26
"1858","D. Zagadou",19,"Borussia Dortmund",75,85,195.58
"1859","M. Diamé",31,"Newcastle United",75,75,182.88
"1860","A. Younes",24,"Napoli",75,76,167.64
"1861","B. Verstraete",24,"KAA Gent",75,80,175.26
"1862","K. Akpoguma",23,"TSG 1899 Hoffenheim",75,81,193.04
"1863","B. Santamaria",23,"Angers SCO",75,80,182.88
"1864","E. Moretti",37,"Torino",75,75,182.88
"1865","H. Behrens",28,"1. FC Nürnberg",75,75,187.96
"1866","M. Maignan",22,"LOSC Lille",75,83,190.5
"1867","Y. Karamoh",19,"FC Girondins de Bordeaux",75,85,185.42
"1868","V. Ignatiev",31,"Lokomotiv Moscow",75,75,180.34
"1869","A. Thomasson",24,"RC Strasbourg Alsace",75,77,177.8
"1870","D. Amartey",23,"Leicester City",75,79,185.42
"1871","R. Özcan",34,"Bayer 04 Leverkusen",75,75,182.88
"1872","A. Donnarumma",27,"Brescia",75,75,180.34
"1873","Timor",28,"UD Las Palmas",75,75,185.42
"1874","C. McGregor",25,"Celtic",75,78,175.26
"1875","R. Martínez",24,"Club América",75,81,180.34
"1876","V. Buyalskyi",25,"Dynamo Kyiv",75,80,170.18
"1877","H. Arter",28,"Cardiff City",75,75,175.26
"1878","A. Mawson",24,"Fulham",75,84,187.96
"1879","F. Guilbert",23,"Stade Malherbe Caen",75,84,177.8
"1880","M. Lemos",22,"Sassuolo",75,80,187.96
"1881","S. Sturaro",25,"Sporting CP",75,78,180.34
"1882","A. Duncan",25,"Sassuolo",75,80,177.8
"1883","Marlon",22,"Sassuolo",75,82,182.88
"1884","M. Isla",30,"Fenerbahçe SK",75,75,175.26
"1885","Thiago Maia",21,"LOSC Lille",75,82,177.8
"1886","Y. Aït Bennasser",21,"AS Monaco",75,83,182.88
"1887","O. Toivonen",31,"Melbourne Victory",75,75,193.04
"1888","J. Urretaviscaya",28,"Monterrey",75,75,172.72
"1889","Yuri Ribeiro",21,"SL Benfica",75,81,177.8
"1890","N. Tomović",30,"Chievo Verona",75,75,182.88
"1891","F. Roncaglia",31,"RC Celta",75,75,177.8
"1892","R. Botta",28,"San Lorenzo de Almagro",75,75,175.26
"1893","R. Mandragora",21,"Udinese",75,85,182.88
"1894","A. Adomah",30,"Aston Villa",75,75,182.88
"1895","D. Samassékou",22,"FC Red Bull Salzburg",75,85,177.8
"1896","M. Yoshida",29,"Southampton",75,75,187.96
"1897","N. Viergever",28,"PSV",75,75,182.88
"1898","R. Amalfitano",28,"Dijon FCO",75,75,175.26
"1899","D. Cataldi",23,"Lazio",75,79,180.34
"1900","Martín",22,"Deportivo Alavés",75,80,177.8
"1901","Tiago Pinto",30,"MKE Ankaragücü",75,75,177.8
"1902","Fernandinho",25,"Chongqing Dangdai Lifan FC SWM Team",75,78,175.26
"1903","C. Cueva",26,"",75,75,167.64
"1904","M. Gaćinović",23,"Eintracht Frankfurt",75,81,175.26
"1905","G. Shoji",25,"Kashima Antlers",75,80,182.88
"1906","L. Rigoni",33,"Parma",75,75,185.42
"1907","M. Krmenčík",25,"Viktoria Plzeň",75,80,190.5
"1908","M. Mevlja",28,"",75,77,190.5
"1909","C. Daniels",31,"Bournemouth",75,75,177.8
"1910","K. Stafylidis",24,"FC Augsburg",75,79,177.8
"1911","Sabin Merino",26,"CD Leganés",75,76,187.96
"1912","A. Flint",28,"Middlesbrough",75,76,198.12
"1913","Brais Méndez",21,"RC Celta",75,84,187.96
"1914","Merino",22,"Real Sociedad",75,84,185.42
"1915","S. Missiroli",32,"SPAL",75,75,190.5
"1916","Serantes",28,"CD Leganés",75,77,182.88
"1917","V. Guzmán",23,"Pachuca",75,80,175.26
"1918","D. Biseswar",30,"PAOK",75,75,175.26
"1919","E. Mas",29,"Boca Juniors",75,75,180.34
"1920","Nuno Pinto",31,"Vitória de Setúbal",75,75,172.72
"1921","Carlos Mané",24,"Sporting CP",75,81,172.72
"1922","Borja Valle",25,"Deportivo de La Coruña",75,78,177.8
"1923","Zeca",29,"FC København",75,75,182.88
"1924","C. Toselli",30,"CD Everton de Viña del Mar",75,75,182.88
"1925","M. Bizot",27,"AZ Alkmaar",75,78,193.04
"1926","K. Ayhan",23,"Fortuna Düsseldorf",75,80,182.88
"1927","Ricardo Ferreira",25,"SC Braga",75,79,190.5
"1928","N. Roux",30,"En Avant de Guingamp",75,75,182.88
"1929","Hernâni",26,"FC Porto",75,75,177.8
"1930","M. Çağıran",25,"Çaykur Rizespor",75,79,180.34
"1931","W. Morgan",34,"Leicester City",75,75,185.42
"1932","J. Alonso",25,"RC Celta",75,80,182.88
"1933","M. Wakaso",27,"Deportivo Alavés",75,75,170.18
"1934","K. Traoré",26,"",75,75,177.8
"1935","Y. Mvogo",24,"RB Leipzig",75,80,190.5
"1936","Kaíquão Castro",34,"Fluminense",75,75,190.5
"1937","K. Fofana",26,"",75,75,187.96
"1938","P. Hurtado",27,"Atiker Konyaspor",75,75,175.26
"1939","D. Bocanegra",31,"Atlético Nacional",75,75,182.88
"1940","Melero",24,"SD Huesca",75,81,182.88
"1941","Borja Bastón",25,"Deportivo Alavés",75,78,190.5
"1942","O. Murillo",30,"Pachuca",75,75,182.88
"1943","O. Onazi",25,"Trabzonspor",75,78,172.72
"1944","C. Günter",25,"SC Freiburg",75,76,182.88
"1945","I. Amadou",25,"Sevilla FC",75,80,182.88
"1946","Unai López",22,"Athletic Club de Bilbao",75,82,170.18
"1947","K. Iheanacho",21,"Leicester City",75,83,182.88
"1948","C. Söyüncü",22,"Leicester City",75,83,185.42
"1949","B. Pearson",23,"Preston North End",75,81,175.26
"1950","F. Niederlechner",27,"SC Freiburg",75,75,187.96
"1951","S. Denswil",25,"Club Brugge KV",75,79,185.42
"1952","G. Rodríguez",34,"San Lorenzo de Almagro",75,75,182.88
"1953","P. Guiñazú",39,"Club Atlético Talleres",75,75,175.26
"1954","H. Hateboer",24,"Atalanta",75,80,187.96
"1955","I. Fernández",28,"River Plate",75,75,182.88
"1956","L. Blas",20,"En Avant de Guingamp",75,84,180.34
"1957","M. Sarr",19,"OGC Nice",75,84,182.88
"1958","Mikel Rico",33,"Athletic Club de Bilbao",75,75,177.8
"1959","F. Neuhaus",21,"Borussia Mönchengladbach",75,85,182.88
"1960","S. İnan",33,"Galatasaray SK",75,75,182.88
"1961","C. Maggio",36,"Benevento",75,75,182.88
"1962","Mexer",29,"Stade Rennais FC",75,75,187.96
"1963","F. Magnanelli",33,"Sassuolo",75,75,180.34
"1964","J. Figal",24,"Independiente",75,81,180.34
"1965","V. Claesson",26,"",75,78,182.88
"1966","F. Helander",25,"Bologna",75,77,193.04
"1967","J. Gondorf",30,"SC Freiburg",75,75,175.26
"1968","R. Ghezzal",26,"Leicester City",75,76,182.88
"1969","Adama",22,"Wolverhampton Wanderers",75,85,177.8
"1970","O. Duda",23,"Hertha BSC",75,82,180.34
"1971","R. Bensebaini",23,"Stade Rennais FC",75,79,185.42
"1972","L. Depoitre",29,"Huddersfield Town",75,75,190.5
"1973","N. Vlašić",20,"PFC CSKA Moscow",75,84,177.8
"1974","Rochina",27,"Levante UD",75,75,182.88
"1975","M. Doherty",26,"Wolverhampton Wanderers",75,78,182.88
"1976","C. Musonda",21,"Vitesse",75,85,172.72
"1977","João Teixeira",25,"Vitória Guimarães",75,78,177.8
"1978","S. Ward",32,"Burnley",75,75,185.42
"1979","Y. Cardinale",24,"OGC Nice",75,78,180.34
"1980","S. Francis",33,"Bournemouth",75,75,187.96
"1981","Lafortiscinho",26,"Botafogo",75,75,177.8
"1982","M. Valdifiori",32,"SPAL",75,75,185.42
"1983","Rubén Pérez",29,"CD Leganés",75,75,177.8
"1984","D. Boyata",27,"Celtic",75,77,187.96
"1985","N. Mendy",26,"Leicester City",75,77,167.64
"1986","A. Martín Arias",25,"Gimnasia y Esgrima La Plata",75,80,185.42
"1987","Pedraza",22,"Villarreal CF",75,80,182.88
"1988","Ricardo",35,"GD Chaves",75,75,187.96
"1989","Tarantini",34,"Rio Ave FC",75,75,187.96
"1990","K. Stöger",24,"Fortuna Düsseldorf",75,80,175.26
"1991","C. Mbemba",23,"FC Porto",75,80,182.88
"1992","A. Limbombe",23,"FC Nantes",75,79,175.26
"1993","K. McDonald",29,"Fulham",75,75,193.04
"1994","O. Niasse",28,"Everton",75,75,182.88
"1995","G. Herrera",26,"Club Atlético Talleres",75,78,187.96
"1996","R. Borré",22,"River Plate",75,82,175.26
"1997","E. Zukanović",31,"Genoa",75,75,190.5
"1998","A. Elis",22,"Houston Dynamo",75,82,180.34
"1999","M. Fernández",32,"Club Necaxa",75,75,177.8
"2000","D. Rodríguez",28,"Club Tijuana",75,75,170.18
"2001","T. Klose",30,"Norwich City",75,75,193.04
"2002","A. Cornelius",25,"FC Girondins de Bordeaux",75,79,193.04
"2003","Kwon Chang Hoon",24,"Dijon FCO",75,79,175.26
"2004","C. Larin",23,"Beşiktaş JK",75,82,187.96
"2005","Tchê Tchê",25,"Dynamo Kyiv",75,78,175.26
"2006","M. Leckie",27,"Hertha BSC",75,75,180.34
"2007","L. Quiñones",27,"Deportivo Toluca",75,75,177.8
"2008","Fontàs",28,"Sporting Kansas City",75,76,185.42
"2009","K. Vermeer",32,"Feyenoord",75,75,182.88
"2010","A. Surman",31,"Bournemouth",75,75,177.8
"2011","M. Höger",28,"1. FC Köln",75,75,182.88
"2012","S. Dann",31,"Crystal Palace",75,75,187.96
"2013","Jovane Cabral",20,"Sporting CP",75,87,175.26
"2014","C. Cathcart",29,"Watford",75,75,190.5
"2015","Zaldúa",26,"Real Sociedad",75,78,175.26
"2016","Pelé",26,"AS Monaco",75,77,182.88
"2017","M. Kelly",28,"Crystal Palace",75,76,190.5
"2018","Y. Bolasie",29,"Aston Villa",75,75,187.96
"2019","L. Zelarayán",26,"Tigres U.A.N.L.",75,77,172.72
"2020","Gelson Fernandes",31,"Eintracht Frankfurt",75,75,177.8
"2021","D. Glushakov",31,"Spartak Moscow",75,75,180.34
"2022","Lee Jae Sung",25,"Holstein Kiel",75,78,180.34
"2023","Baiano",31,"Alanyaspor",75,75,177.8
"2024","A. Hurtado",31,"Monterrey",75,75,170.18
"2025","A. Mierzejewski",31,"Changchun Yatai FC",75,75,175.26
"2026","V. Janssen",24,"Tottenham Hotspur",75,78,182.88
"2027","E. Paredes",37,"Colo-Colo",75,75,177.8
"2028","B. Alemán",28,"Ettifaq FC",75,75,175.26
"2029","P. Retsos",19,"Bayer 04 Leverkusen",75,85,185.42
"2030","J. Hernández",19,"SD Huesca",75,82,175.26
"2031","S. Corchia",27,"SL Benfica",75,75,175.26
"2032","Rubén Pardo",25,"Real Sociedad",75,78,180.34
"2033","P. Goltz",33,"Boca Juniors",75,75,182.88
"2034","D. Türüç",25,"Kayserispor",75,79,177.8
"2035","B. Mechele",25,"Club Brugge KV",75,79,190.5
"2036","Kaimo Lima",34,"Fluminense",75,75,187.96
"2037","R. Rodelin",28,"En Avant de Guingamp",75,75,193.04
"2038","Bobô",33,"Alanyaspor",75,75,185.42
"2039","L. Ciman",32,"Dijon FCO",75,75,182.88
"2040","D. Ba",33,"Shanghai Greenland Shenhua FC",75,75,187.96
"2041","H. Medunjanin",33,"Philadelphia Union",75,75,187.96
"2042","José Cañas",31,"PAOK",75,75,177.8
"2043","Y. Osorio",24,"Vitória Guimarães",75,83,187.96
"2044","Titi",30,"Göztepe SK",75,75,187.96
"2045","Carles Gil",25,"Deportivo de La Coruña",75,76,170.18
"2046","P. Lasne",29,"Montpellier HSC",75,75,185.42
"2047","Lekue",25,"Athletic Club de Bilbao",75,78,180.34
"2048","A. Silva",28,"Montreal Impact",75,75,177.8
"2049","A. Danjuma Groeneveld",21,"Club Brugge KV",75,84,177.8
"2050","C. Luyindama",24,"Standard de Liège",75,80,190.5
"2051","L. González Pirez",26,"Atlanta United",75,78,185.42
"2052","Sergio Álvarez",26,"SD Eibar",75,78,182.88
"2053","M. Cornet",21,"Olympique Lyonnais",75,80,177.8
"2054","M. Schnatterer",32,"1. FC Heidenheim 1846",75,75,180.34
"2055","O. Kharbin",24,"Al Hilal",75,80,185.42
"2056","Sergi Guardiola",27,"Getafe CF",75,76,187.96
"2057","T. Souček",23,"SK Slavia Praha",75,83,193.04
"2058","Y. Ravet",28,"SC Freiburg",75,75,177.8
"2059","T. Serero",28,"Vitesse",75,75,172.72
"2060","B. Douglas",28,"Leeds United",75,75,177.8
"2061","S. Johnstone",25,"West Bromwich Albion",75,80,193.04
"2062","Medrán",24,"Rayo Vallecano",75,81,175.26
"2063","J. Corona",37,"Cruz Azul",75,75,182.88
"2064","I. Fetfatzidis",27,"Olympiacos CFP",75,75,165.1
"2065","S. Romero",29,"Independiente",75,75,177.8
"2066","B. Jokič",32,"",75,75,175.26
"2067","S. Sinclair",29,"Celtic",75,75,177.8
"2068","L. Krejčí",25,"Bologna",75,75,180.34
"2069","L. Orbán",29,"Racing Club",74,74,177.8
"2070","A. Hamdallah",27,"Al Nassr",74,74,177.8
"2071","R. Tapia",22,"Feyenoord",74,79,182.88
"2072","O. Watkins",22,"Brentford",74,81,180.34
"2073","Duirval Diniz",34,"Atlético Paranaense",74,74,187.96
"2074","Arribas",29,"U.N.A.M.",74,74,182.88
"2075","B. Dabo",26,"Fiorentina",74,77,185.42
"2076","G. Lezcano",31,"Monarcas Morelia",74,74,167.64
"2077","Bebeto",28,"Clube Sport Marítimo",74,74,175.26
"2078","L. Sobiech",27,"1. FC Köln",74,74,195.58
"2079","Guerrero",27,"Olympiacos CFP",74,74,180.34
"2080","K. Boutaïb",31,"Yeni Malatyaspor",74,74,187.96
"2081","T. Hlatshwayo",28,"",74,75,187.96
"2082","M. Krohn-Dehli",35,"Deportivo de La Coruña",74,74,170.18
"2083","Lucas Torró",23,"Eintracht Frankfurt",74,81,190.5
"2084","J. Vossen",29,"Club Brugge KV",74,74,182.88
"2085","J. Rodríguez",25,"Lobos BUAP",74,77,185.42
"2086","M. Pasqual",36,"Empoli",74,74,177.8
"2087","Zubeldia",21,"Real Sociedad",74,81,180.34
"2088","Da Costa",34,"Bologna",74,74,185.42
"2089","D. Kolář",32,"Viktoria Plzeň",74,74,180.34
"2090","M. Zaldivia",27,"Colo-Colo",74,76,180.34
"2091","S. Ghoddos",24,"Amiens SC",74,79,177.8
"2092","A. Bălută",24,"SK Slavia Praha",74,77,165.1
"2093","T. Melia",32,"Sporting Kansas City",74,74,185.42
"2094","A. Di Gaudio",28,"Parma",74,74,170.18
"2095","N. Milenković",20,"Fiorentina",74,83,195.58
"2096","V. Demirel",36,"Fenerbahçe SK",74,74,190.5
"2097","L. Cooper",26,"Leeds United",74,75,187.96
"2098","Edercinho Sepa",30,"Grêmio",74,74,177.8
"2099","A. Morelos",22,"Rangers FC",74,84,177.8
"2100","J. Chester",29,"Aston Villa",74,74,180.34
"2101","D. Sakho",28,"Bursaspor",74,74,182.88
"2102","E. Velázquez",24,"Rayo Vallecano",74,80,185.42
"2103","M. Waris",26,"FC Nantes",74,74,172.72
"2104","T. Matavž",29,"Vitesse",74,74,187.96
"2105","Y. Khacheridi",30,"PAOK",74,74,198.12
"2106","Y. Gerhardt",24,"VfL Wolfsburg",74,80,182.88
"2107","K. Laifis",25,"Standard de Liège",74,78,185.42
"2108","J. Hoilett",28,"Cardiff City",74,74,172.72
"2109","Pascoal Muscato",26,"Santos",74,74,177.8
"2110","J. Furch",28,"Santos Laguna",74,74,187.96
"2111","Fransérgio",27,"SC Braga",74,74,187.96
"2112","S. Gümüş",24,"Galatasaray SK",74,78,177.8
"2113","Anselmo",29,"Al Wehda",74,74,185.42
"2114","J. Silva",24,"CD Leganés",74,79,180.34
"2115","Manquillo",24,"Newcastle United",74,78,177.8
"2116","Daniel Candeias",30,"Rangers FC",74,74,177.8
"2117","R. Rey",27,"PAOK",74,77,190.5
"2118","U. Račić",20,"Valencia CF",74,83,193.04
"2119","André Sousa",27,"Real Sporting de Gijón",74,74,180.34
"2120","G. Ortíz",25,"Club Atlético Colón",74,79,182.88
"2121","A. Ademi",27,"Dinamo Zagreb",74,76,185.42
"2122","P. Roberts",21,"Girona FC",74,82,170.18
"2123","Daniel Ayala",27,"Middlesbrough",74,76,190.5
"2124","M. Kempf",23,"VfB Stuttgart",74,80,185.42
"2125","R. Khedira",24,"FC Augsburg",74,77,187.96
"2126","M. Casco",30,"River Plate",74,74,170.18
"2127","Caio Milaçar",34,"Ceará Sporting Club",74,74,170.18
"2128","O. Norwood",27,"Sheffield United",74,74,175.26
"2129","C. Träsch",30,"FC Ingolstadt 04",74,74,180.34
"2130","C. Atsu",26,"Newcastle United",74,75,165.1
"2131","A. Touré",22,"AS Monaco",74,79,182.88
"2132","Eduardo",35,"Vitesse",74,74,187.96
"2133","M. Andújar",34,"Estudiantes de La Plata",74,74,193.04
"2134","K. Olsson",23,"AIK",74,79,180.34
"2135","E. Krafth",23,"Amiens SC",74,78,180.34
"2136","R. Jack",26,"Rangers FC",74,78,182.88
